Entity,Year,Nickel Production (Clio-Infra & USGS),Tungsten Production (Clio-Infra & USGS),Zinc Production (Clio-Infra & USGS),Silver Production (Clio-Infra & USGS),Bauxite Production (Clio-Infra & USGS),Iron Ore Production (Clio-Infra & USGS),Gold Production (Clio-Infra & USGS),Tin Production (Clio-Infra & USGS),Lead Production (Clio-Infra & USGS),Copper Production (Clio-Infra & USGS),Aluminium Production (Clio-Infra & USGS),Manganese Production (Clio-Infra & USGS)
Italy,1954,,0.0,118.0,28.0,294.0,1.0,0.0,0.0,44.0,,58.0,14.0
Italy,1955,,0.0,120.0,27.0,327.0,1.0,0.0,0.0,48.0,,62.0,15.0
Italy,1956,,0.0,117.0,32.0,276.0,2.0,0.0,0.0,51.0,,63.0,12.0
Italy,1957,,0.0,130.0,30.0,262.0,2.0,0.0,0.0,54.0,,66.0,13.0
Italy,1958,,0.0,137.0,42.0,299.0,1.0,0.0,0.0,59.0,,64.0,12.0
Italy,1959,,0.0,133.0,33.0,294.0,1.0,0.0,0.0,51.0,,75.0,15.0
Italy,1960,,0.0,131.0,29.0,313.0,1.0,0.0,0.0,50.0,,84.0,15.0
Italy,1961,,0.0,136.0,30.0,327.0,1.0,0.0,0.0,47.0,,83.0,15.0
Italy,1962,,0.0,131.0,29.0,309.0,1.0,0.0,0.0,43.0,,83.0,13.0
Italy,1963,,0.0,105.0,31.0,270.0,1.0,0.0,0.0,33.0,,91.0,15.0
Italy,1964,,0.0,116.0,33.0,252.0,1.0,0.0,0.0,33.0,,116.0,15.0
Italy,1965,,0.0,114.0,34.0,244.0,1.0,0.0,0.0,35.0,,124.0,15.0
Italy,1966,,0.0,118.0,35.0,256.0,1.0,0.0,0.0,37.0,,129.0,11.0
Italy,1967,,0.0,125.0,43.0,241.0,1.0,0.0,0.0,39.0,,128.0,12.0
Italy,1968,,0.0,142.0,36.0,216.0,1.0,0.0,0.0,37.0,,142.0,13.0
Italy,1969,,0.0,132.0,57.0,217.0,1.0,0.0,0.0,37.0,,145.0,16.0
Italy,1970,,0.0,111.0,33.0,206.0,1.0,0.0,0.0,35.0,,147.0,13.0
Italy,1971,,0.0,106.0,38.0,191.0,1.0,0.0,0.0,30.0,,136.0,8.0
Italy,1972,,0.0,103.0,68.0,84.0,1.0,0.0,0.0,32.0,,150.0,6.0
Italy,1973,,0.0,79.0,42.0,50.0,1.0,0.0,0.0,25.0,,184.0,6.0
Italy,1974,,0.0,78.0,42.0,32.0,1.0,0.0,0.0,21.0,,212.0,4.0
Italy,1975,,0.0,78.0,36.0,32.0,1.0,0.0,0.0,29.0,,190.0,0.0
Italy,1976,,0.0,86.0,49.0,24.0,1.0,0.0,0.0,30.0,,207.0,1.0
Italy,1977,,0.0,79.0,38.0,35.0,1.0,0.0,0.0,31.0,,260.0,3.0
Italy,1978,,0.0,74.0,31.0,24.0,0.0,0.0,0.0,27.0,,271.0,3.0
Italy,1979,,0.0,66.0,33.0,26.0,0.0,0.0,0.0,28.0,,269.0,3.0
Italy,1980,,0.0,58.0,42.0,23.0,0.0,0.0,0.0,24.0,,271.0,3.0
