DATAFLOW,LAST UPDATE,freq,unit,na_item,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG,CONF_STATUS
ESTAT:NAMA_10_GDP(1.0),22/07/26 23:00:00,A,CLV05_MEUR,D21X31,IT,1997,133539.3,,
ESTAT:NAMA_10_GDP(1.0),22/07/26 23:00:00,A,CLV05_MEUR,D21X31,IT,1998,137942.5,,
ESTAT:NAMA_10_GDP(1.0),22/07/26 23:00:00,A,CLV05_MEUR,D21X31,IT,1999,141314.2,,
ESTAT:NAMA_10_GDP(1.0),22/07/26 23:00:00,A,CLV05_MEUR,D21X31,IT,2000,146760.3,,
ESTAT:NAMA_10_GDP(1.0),22/07/26 23:00:00,A,CLV05_MEUR,D21X31,IT,2001,150829.3,,
ESTAT:NAMA_10_GDP(1.0),22/07/26 23:00:00,A,CLV05_MEUR,D21X31,IT,2002,149774.5,,
ESTAT:NAMA_10_GDP(1.0),22/07/26 23:00:00,A,CLV05_MEUR,D21X31,IT,2003,150224.9,,
ESTAT:NAMA_10_GDP(1.0),22/07/26 23:00:00,A,CLV05_MEUR,D21X31,IT,2004,149873.8,,
ESTAT:NAMA_10_GDP(1.0),22/07/26 23:00:00,A,CLV05_MEUR,D21X31,IT,2005,150713.0,,
ESTAT:NAMA_10_GDP(1.0),22/07/26 23:00:00,A,CLV05_MEUR,D21X31,IT,2006,151595.5,,
ESTAT:NAMA_10_GDP(1.0),22/07/26 23:00:00,A,CLV05_MEUR,D21X31,IT,2007,152141.4,,
ESTAT:NAMA_10_GDP(1.0),22/07/26 23:00:00,A,CLV05_MEUR,D21X31,IT,2008,147983.9,,
ESTAT:NAMA_10_GDP(1.0),22/07/26 23:00:00,A,CLV05_MEUR,D21X31,IT,2009,143124.2,,
ESTAT:NAMA_10_GDP(1.0),22/07/26 23:00:00,A,CLV05_MEUR,D21X31,IT,2010,141724.7,,
ESTAT:NAMA_10_GDP(1.0),22/07/26 23:00:00,A,CLV05_MEUR,D21X31,IT,2011,141651.4,,
ESTAT:NAMA_10_GDP(1.0),22/07/26 23:00:00,A,CLV05_MEUR,D21X31,IT,2012,133661.0,,
ESTAT:NAMA_10_GDP(1.0),22/07/26 23:00:00,A,CLV05_MEUR,D21X31,IT,2013,127813.9,,
ESTAT:NAMA_10_GDP(1.0),22/07/26 23:00:00,A,CLV05_MEUR,D21X31,IT,2014,128528.9,,
ESTAT:NAMA_10_GDP(1.0),22/07/26 23:00:00,A,CLV05_MEUR,D21X31,IT,2015,129190.6,,
ESTAT:NAMA_10_GDP(1.0),22/07/26 23:00:00,A,CLV05_MEUR,D21X31,IT,2016,129425.1,,
ESTAT:NAMA_10_GDP(1.0),22/07/26 23:00:00,A,CLV05_MEUR,D21X31,IT,2017,129026.9,,
ESTAT:NAMA_10_GDP(1.0),22/07/26 23:00:00,A,CLV05_MEUR,D21X31,IT,2018,128378.7,,
ESTAT:NAMA_10_GDP(1.0),22/07/26 23:00:00,A,CLV05_MEUR,D21X31,IT,2019,126084.4,,
ESTAT:NAMA_10_GDP(1.0),22/07/26 23:00:00,A,CLV05_MEUR,D21X31,IT,2020,109133.6,,
ESTAT:NAMA_10_GDP(1.0),22/07/26 23:00:00,A,CLV05_MEUR,D21X31,IT,2021,118559.6,,
ESTAT:NAMA_10_GDP(1.0),22/07/26 23:00:00,A,CLV05_MEUR,D21X31,IT,2022,123111.6,,
ESTAT:NAMA_10_GDP(1.0),22/07/26 23:00:00,A,CLV05_MEUR,D21X31,IT,2023,124186.7,,
ESTAT:NAMA_10_GDP(1.0),22/07/26 23:00:00,A,CLV05_MEUR,D21X31,IT,2024,127999.8,,
ESTAT:NAMA_10_GDP(1.0),22/07/26 23:00:00,A,CLV05_MEUR,D21X31,IT,2025,130132.7,,
ESTAT:NAMA_10_GDP(1.0),22/07/26 23:00:00,A,CLV05_MEUR,D31,IT,1995,6336.9,,
ESTAT:NAMA_10_GDP(1.0),22/07/26 23:00:00,A,CLV05_MEUR,D31,IT,1996,6496.9,,
ESTAT:NAMA_10_GDP(1.0),22/07/26 23:00:00,A,CLV05_MEUR,D31,IT,1997,6779.4,,
ESTAT:NAMA_10_GDP(1.0),22/07/26 23:00:00,A,CLV05_MEUR,D31,IT,1998,7112.2,,
ESTAT:NAMA_10_GDP(1.0),22/07/26 23:00:00,A,CLV05_MEUR,D31,IT,1999,7531.4,,
ESTAT:NAMA_10_GDP(1.0),22/07/26 23:00:00,A,CLV05_MEUR,D31,IT,2000,8241.2,,
ESTAT:NAMA_10_GDP(1.0),22/07/26 23:00:00,A,CLV05_MEUR,D31,IT,2001,8374.0,,
ESTAT:NAMA_10_GDP(1.0),22/07/26 23:00:00,A,CLV05_MEUR,D31,IT,2002,8323.4,,
ESTAT:NAMA_10_GDP(1.0),22/07/26 23:00:00,A,CLV05_MEUR,D31,IT,2003,8410.7,,
ESTAT:NAMA_10_GDP(1.0),22/07/26 23:00:00,A,CLV05_MEUR,D31,IT,2004,8714.1,,
ESTAT:NAMA_10_GDP(1.0),22/07/26 23:00:00,A,CLV05_MEUR,D31,IT,2005,9032.0,,
ESTAT:NAMA_10_GDP(1.0),22/07/26 23:00:00,A,CLV05_MEUR,D31,IT,2006,9117.6,,
ESTAT:NAMA_10_GDP(1.0),22/07/26 23:00:00,A,CLV05_MEUR,D31,IT,2007,9263.0,,
ESTAT:NAMA_10_GDP(1.0),22/07/26 23:00:00,A,CLV05_MEUR,D31,IT,2008,8977.7,,
ESTAT:NAMA_10_GDP(1.0),22/07/26 23:00:00,A,CLV05_MEUR,D31,IT,2009,8911.8,,
ESTAT:NAMA_10_GDP(1.0),22/07/26 23:00:00,A,CLV05_MEUR,D31,IT,2010,9296.9,,
ESTAT:NAMA_10_GDP(1.0),22/07/26 23:00:00,A,CLV05_MEUR,D31,IT,2011,9028.6,,
ESTAT:NAMA_10_GDP(1.0),22/07/26 23:00:00,A,CLV05_MEUR,D31,IT,2012,8408.9,,
ESTAT:NAMA_10_GDP(1.0),22/07/26 23:00:00,A,CLV05_MEUR,D31,IT,2013,8789.4,,
ESTAT:NAMA_10_GDP(1.0),22/07/26 23:00:00,A,CLV05_MEUR,D31,IT,2014,8685.7,,
ESTAT:NAMA_10_GDP(1.0),22/07/26 23:00:00,A,CLV05_MEUR,D31,IT,2015,8512.1,,
ESTAT:NAMA_10_GDP(1.0),22/07/26 23:00:00,A,CLV05_MEUR,D31,IT,2016,8815.0,,
ESTAT:NAMA_10_GDP(1.0),22/07/26 23:00:00,A,CLV05_MEUR,D31,IT,2017,8858.5,,
ESTAT:NAMA_10_GDP(1.0),22/07/26 23:00:00,A,CLV05_MEUR,D31,IT,2018,8673.0,,
ESTAT:NAMA_10_GDP(1.0),22/07/26 23:00:00,A,CLV05_MEUR,D31,IT,2019,8780.1,,
ESTAT:NAMA_10_GDP(1.0),22/07/26 23:00:00,A,CLV05_MEUR,D31,IT,2020,9151.1,,
ESTAT:NAMA_10_GDP(1.0),22/07/26 23:00:00,A,CLV05_MEUR,D31,IT,2021,9573.8,,
ESTAT:NAMA_10_GDP(1.0),22/07/26 23:00:00,A,CLV05_MEUR,D31,IT,2022,13164.2,,
ESTAT:NAMA_10_GDP(1.0),22/07/26 23:00:00,A,CLV05_MEUR,D31,IT,2023,13487.0,,
ESTAT:NAMA_10_GDP(1.0),22/07/26 23:00:00,A,CLV05_MEUR,D31,IT,2024,11863.5,,
ESTAT:NAMA_10_GDP(1.0),22/07/26 23:00:00,A,CLV05_MEUR,D31,IT,2025,12771.8,,
ESTAT:NAMA_10_GDP(1.0),22/07/26 23:00:00,A,CLV05_MEUR,P3,IT,1995,992360.7,,
ESTAT:NAMA_10_GDP(1.0),22/07/26 23:00:00,A,CLV05_MEUR,P3,IT,1996,1003059.1,,
ESTAT:NAMA_10_GDP(1.0),22/07/26 23:00:00,A,CLV05_MEUR,P3,IT,1997,1031036.7,,
ESTAT:NAMA_10_GDP(1.0),22/07/26 23:00:00,A,CLV05_MEUR,P3,IT,1998,1063030.8,,
ESTAT:NAMA_10_GDP(1.0),22/07/26 23:00:00,A,CLV05_MEUR,P3,IT,1999,1089044.4,,
ESTAT:NAMA_10_GDP(1.0),22/07/26 23:00:00,A,CLV05_MEUR,P3,IT,2000,1120609.1,,
ESTAT:NAMA_10_GDP(1.0),22/07/26 23:00:00,A,CLV05_MEUR,P3,IT,2001,1140724.7,,
ESTAT:NAMA_10_GDP(1.0),22/07/26 23:00:00,A,CLV05_MEUR,P3,IT,2002,1144382.7,,
ESTAT:NAMA_10_GDP(1.0),22/07/26 23:00:00,A,CLV05_MEUR,P3,IT,2003,1154320.7,,
ESTAT:NAMA_10_GDP(1.0),22/07/26 23:00:00,A,CLV05_MEUR,P3,IT,2004,1164934.1,,
ESTAT:NAMA_10_GDP(1.0),22/07/26 23:00:00,A,CLV05_MEUR,P3,IT,2005,1177858.5,,
ESTAT:NAMA_10_GDP(1.0),22/07/26 23:00:00,A,CLV05_MEUR,P3,IT,2006,1187669.6,,
ESTAT:NAMA_10_GDP(1.0),22/07/26 23:00:00,A,CLV05_MEUR,P3,IT,2007,1198862.8,,
ESTAT:NAMA_10_GDP(1.0),22/07/26 23:00:00,A,CLV05_MEUR,P3,IT,2008,1193318.1,,
ESTAT:NAMA_10_GDP(1.0),22/07/26 23:00:00,A,CLV05_MEUR,P3,IT,2009,1181126.2,,
ESTAT:NAMA_10_GDP(1.0),22/07/26 23:00:00,A,CLV05_MEUR,P3,IT,2010,1188662.9,,
ESTAT:NAMA_10_GDP(1.0),22/07/26 23:00:00,A,CLV05_MEUR,P3,IT,2011,1183514.2,,
ESTAT:NAMA_10_GDP(1.0),22/07/26 23:00:00,A,CLV05_MEUR,P3,IT,2012,1144420.9,,
ESTAT:NAMA_10_GDP(1.0),22/07/26 23:00:00,A,CLV05_MEUR,P3,IT,2013,1121852.2,,
ESTAT:NAMA_10_GDP(1.0),22/07/26 23:00:00,A,CLV05_MEUR,P3,IT,2014,1122622.5,,
ESTAT:NAMA_10_GDP(1.0),22/07/26 23:00:00,A,CLV05_MEUR,P3,IT,2015,1137908.7,,
ESTAT:NAMA_10_GDP(1.0),22/07/26 23:00:00,A,CLV05_MEUR,P3,IT,2016,1148084.6,,
ESTAT:NAMA_10_GDP(1.0),22/07/26 23:00:00,A,CLV05_MEUR,P3,IT,2017,1159481.3,,
ESTAT:NAMA_10_GDP(1.0),22/07/26 23:00:00,A,CLV05_MEUR,P3,IT,2018,1163921.0,,
ESTAT:NAMA_10_GDP(1.0),22/07/26 23:00:00,A,CLV05_MEUR,P3,IT,2019,1162545.8,,
