DATAFLOW,LAST UPDATE,freq,unit,landuse,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG,CONF_STATUS
ESTAT:DEMO_R_D3AREA(1.0),25/08/20 23:00:00,A,KM2,L0008,ITC13,2001,893.0,,
ESTAT:DEMO_R_D3AREA(1.0),25/08/20 23:00:00,A,KM2,L0008,ITC13,2002,896.0,,
ESTAT:DEMO_R_D3AREA(1.0),25/08/20 23:00:00,A,KM2,L0008,ITC13,2003,896.0,,
ESTAT:DEMO_R_D3AREA(1.0),25/08/20 23:00:00,A,KM2,L0008,ITC13,2004,896.0,,
ESTAT:DEMO_R_D3AREA(1.0),25/08/20 23:00:00,A,KM2,L0008,ITC13,2005,896.0,,
ESTAT:DEMO_R_D3AREA(1.0),25/08/20 23:00:00,A,KM2,L0008,ITC13,2006,896.0,,
ESTAT:DEMO_R_D3AREA(1.0),25/08/20 23:00:00,A,KM2,L0008,ITC13,2007,896.0,,
ESTAT:DEMO_R_D3AREA(1.0),25/08/20 23:00:00,A,KM2,L0008,ITC13,2008,896.0,,
ESTAT:DEMO_R_D3AREA(1.0),25/08/20 23:00:00,A,KM2,L0008,ITC13,2009,896.0,,
ESTAT:DEMO_R_D3AREA(1.0),25/08/20 23:00:00,A,KM2,L0008,ITC13,2010,896.0,,
ESTAT:DEMO_R_D3AREA(1.0),25/08/20 23:00:00,A,KM2,L0008,ITC13,2011,896.0,,
ESTAT:DEMO_R_D3AREA(1.0),25/08/20 23:00:00,A,KM2,L0008,ITC13,2012,896.0,,
ESTAT:DEMO_R_D3AREA(1.0),25/08/20 23:00:00,A,KM2,L0008,ITC14,1992,2135.0,,
ESTAT:DEMO_R_D3AREA(1.0),25/08/20 23:00:00,A,KM2,L0008,ITC14,1993,2135.0,,
ESTAT:DEMO_R_D3AREA(1.0),25/08/20 23:00:00,A,KM2,L0008,ITC14,1994,2135.0,,
ESTAT:DEMO_R_D3AREA(1.0),25/08/20 23:00:00,A,KM2,L0008,ITC14,1995,2135.0,,
ESTAT:DEMO_R_D3AREA(1.0),25/08/20 23:00:00,A,KM2,L0008,ITC14,1996,2135.0,,
ESTAT:DEMO_R_D3AREA(1.0),25/08/20 23:00:00,A,KM2,L0008,ITC14,1997,2135.0,,
ESTAT:DEMO_R_D3AREA(1.0),25/08/20 23:00:00,A,KM2,L0008,ITC14,1998,2135.0,,
ESTAT:DEMO_R_D3AREA(1.0),25/08/20 23:00:00,A,KM2,L0008,ITC14,1999,2135.0,,
ESTAT:DEMO_R_D3AREA(1.0),25/08/20 23:00:00,A,KM2,L0008,ITC14,2000,2135.0,,
ESTAT:DEMO_R_D3AREA(1.0),25/08/20 23:00:00,A,KM2,L0008,ITC14,2001,2135.0,,
ESTAT:DEMO_R_D3AREA(1.0),25/08/20 23:00:00,A,KM2,L0008,ITC14,2002,2135.0,,
ESTAT:DEMO_R_D3AREA(1.0),25/08/20 23:00:00,A,KM2,L0008,ITC14,2003,2135.0,,
ESTAT:DEMO_R_D3AREA(1.0),25/08/20 23:00:00,A,KM2,L0008,ITC14,2004,2135.0,,
