time,time_label,geo,geo_label,unit,unit_label,freq,freq_label,OBS_VALUE
2022,2022,ITF,Sud,EUR_HAB,Euro per inhabitant,A,Annual,22500.0
2023,2023,ITF,Sud,EUR_HAB,Euro per inhabitant,A,Annual,24300.0
2024,2024,ITF,Sud,EUR_HAB,Euro per inhabitant,A,Annual,25100.0
2000,2000,ITF1,Abruzzo,EUR_HAB,Euro per inhabitant,A,Annual,19000.0
2001,2001,ITF1,Abruzzo,EUR_HAB,Euro per inhabitant,A,Annual,20000.0
2002,2002,ITF1,Abruzzo,EUR_HAB,Euro per inhabitant,A,Annual,20400.0
2003,2003,ITF1,Abruzzo,EUR_HAB,Euro per inhabitant,A,Annual,20600.0
2004,2004,ITF1,Abruzzo,EUR_HAB,Euro per inhabitant,A,Annual,20500.0
2005,2005,ITF1,Abruzzo,EUR_HAB,Euro per inhabitant,A,Annual,21400.0
2006,2006,ITF1,Abruzzo,EUR_HAB,Euro per inhabitant,A,Annual,22300.0
2007,2007,ITF1,Abruzzo,EUR_HAB,Euro per inhabitant,A,Annual,23000.0
2008,2008,ITF1,Abruzzo,EUR_HAB,Euro per inhabitant,A,Annual,23400.0
2009,2009,ITF1,Abruzzo,EUR_HAB,Euro per inhabitant,A,Annual,22500.0
2010,2010,ITF1,Abruzzo,EUR_HAB,Euro per inhabitant,A,Annual,23100.0
2011,2011,ITF1,Abruzzo,EUR_HAB,Euro per inhabitant,A,Annual,24100.0
2012,2012,ITF1,Abruzzo,EUR_HAB,Euro per inhabitant,A,Annual,24100.0
2013,2013,ITF1,Abruzzo,EUR_HAB,Euro per inhabitant,A,Annual,23700.0
2014,2014,ITF1,Abruzzo,EUR_HAB,Euro per inhabitant,A,Annual,23800.0
2015,2015,ITF1,Abruzzo,EUR_HAB,Euro per inhabitant,A,Annual,24000.0
2016,2016,ITF1,Abruzzo,EUR_HAB,Euro per inhabitant,A,Annual,24300.0
2017,2017,ITF1,Abruzzo,EUR_HAB,Euro per inhabitant,A,Annual,25000.0
2018,2018,ITF1,Abruzzo,EUR_HAB,Euro per inhabitant,A,Annual,25200.0
2019,2019,ITF1,Abruzzo,EUR_HAB,Euro per inhabitant,A,Annual,25500.0
2020,2020,ITF1,Abruzzo,EUR_HAB,Euro per inhabitant,A,Annual,23700.0
2021,2021,ITF1,Abruzzo,EUR_HAB,Euro per inhabitant,A,Annual,26300.0
2022,2022,ITF1,Abruzzo,EUR_HAB,Euro per inhabitant,A,Annual,28600.0
2023,2023,ITF1,Abruzzo,EUR_HAB,Euro per inhabitant,A,Annual,31100.0
2024,2024,ITF1,Abruzzo,EUR_HAB,Euro per inhabitant,A,Annual,32100.0
2000,2000,ITF2,Molise,EUR_HAB,Euro per inhabitant,A,Annual,17100.0
2001,2001,ITF2,Molise,EUR_HAB,Euro per inhabitant,A,Annual,18100.0
2002,2002,ITF2,Molise,EUR_HAB,Euro per inhabitant,A,Annual,18600.0
2003,2003,ITF2,Molise,EUR_HAB,Euro per inhabitant,A,Annual,18900.0
