time,time_label,geo,geo_label,na_item,na_item_label,unit,unit_label,freq,freq_label,OBS_VALUE
2002,2002,IT,Italy,P31_S14_S15,Household and NPISH final consumption expenditure,CLV10_EUR_HAB,"Chain linked volumes (2010), euro per capita",A,Annual,16450.0
2003,2003,IT,Italy,P31_S14_S15,Household and NPISH final consumption expenditure,CLV10_EUR_HAB,"Chain linked volumes (2010), euro per capita",A,Annual,16480.0
2004,2004,IT,Italy,P31_S14_S15,Household and NPISH final consumption expenditure,CLV10_EUR_HAB,"Chain linked volumes (2010), euro per capita",A,Annual,16520.0
2005,2005,IT,Italy,P31_S14_S15,Household and NPISH final consumption expenditure,CLV10_EUR_HAB,"Chain linked volumes (2010), euro per capita",A,Annual,16630.0
2006,2006,IT,Italy,P31_S14_S15,Household and NPISH final consumption expenditure,CLV10_EUR_HAB,"Chain linked volumes (2010), euro per capita",A,Annual,16790.0
2007,2007,IT,Italy,P31_S14_S15,Household and NPISH final consumption expenditure,CLV10_EUR_HAB,"Chain linked volumes (2010), euro per capita",A,Annual,16870.0
2008,2008,IT,Italy,P31_S14_S15,Household and NPISH final consumption expenditure,CLV10_EUR_HAB,"Chain linked volumes (2010), euro per capita",A,Annual,16570.0
2009,2009,IT,Italy,P31_S14_S15,Household and NPISH final consumption expenditure,CLV10_EUR_HAB,"Chain linked volumes (2010), euro per capita",A,Annual,16230.0
2010,2010,IT,Italy,P31_S14_S15,Household and NPISH final consumption expenditure,CLV10_EUR_HAB,"Chain linked volumes (2010), euro per capita",A,Annual,16320.0
2011,2011,IT,Italy,P31_S14_S15,Household and NPISH final consumption expenditure,CLV10_EUR_HAB,"Chain linked volumes (2010), euro per capita",A,Annual,16290.0
2012,2012,IT,Italy,P31_S14_S15,Household and NPISH final consumption expenditure,CLV10_EUR_HAB,"Chain linked volumes (2010), euro per capita",A,Annual,15660.0
2013,2013,IT,Italy,P31_S14_S15,Household and NPISH final consumption expenditure,CLV10_EUR_HAB,"Chain linked volumes (2010), euro per capita",A,Annual,15280.0
2014,2014,IT,Italy,P31_S14_S15,Household and NPISH final consumption expenditure,CLV10_EUR_HAB,"Chain linked volumes (2010), euro per capita",A,Annual,15320.0
2015,2015,IT,Italy,P31_S14_S15,Household and NPISH final consumption expenditure,CLV10_EUR_HAB,"Chain linked volumes (2010), euro per capita",A,Annual,15620.0
2016,2016,IT,Italy,P31_S14_S15,Household and NPISH final consumption expenditure,CLV10_EUR_HAB,"Chain linked volumes (2010), euro per capita",A,Annual,15770.0
2017,2017,IT,Italy,P31_S14_S15,Household and NPISH final consumption expenditure,CLV10_EUR_HAB,"Chain linked volumes (2010), euro per capita",A,Annual,16000.0
2018,2018,IT,Italy,P31_S14_S15,Household and NPISH final consumption expenditure,CLV10_EUR_HAB,"Chain linked volumes (2010), euro per capita",A,Annual,16110.0
2019,2019,IT,Italy,P31_S14_S15,Household and NPISH final consumption expenditure,CLV10_EUR_HAB,"Chain linked volumes (2010), euro per capita",A,Annual,16150.0
2020,2020,IT,Italy,P31_S14_S15,Household and NPISH final consumption expenditure,CLV10_EUR_HAB,"Chain linked volumes (2010), euro per capita",A,Annual,14510.0
2021,2021,IT,Italy,P31_S14_S15,Household and NPISH final consumption expenditure,CLV10_EUR_HAB,"Chain linked volumes (2010), euro per capita",A,Annual,15440.0
2022,2022,IT,Italy,P31_S14_S15,Household and NPISH final consumption expenditure,CLV10_EUR_HAB,"Chain linked volumes (2010), euro per capita",A,Annual,16280.0
2023,2023,IT,Italy,P31_S14_S15,Household and NPISH final consumption expenditure,CLV10_EUR_HAB,"Chain linked volumes (2010), euro per capita",A,Annual,16380.0
2024,2024,IT,Italy,P31_S14_S15,Household and NPISH final consumption expenditure,CLV10_EUR_HAB,"Chain linked volumes (2010), euro per capita",A,Annual,16580.0
2025,2025,IT,Italy,P31_S14_S15,Household and NPISH final consumption expenditure,CLV10_EUR_HAB,"Chain linked volumes (2010), euro per capita",A,Annual,16760.0
1995,1995,IT,Italy,P31_S15,Final consumption expenditure of NPISH,CLV10_EUR_HAB,"Chain linked volumes (2010), euro per capita",A,Annual,100.0
1996,1996,IT,Italy,P31_S15,Final consumption expenditure of NPISH,CLV10_EUR_HAB,"Chain linked volumes (2010), euro per capita",A,Annual,110.0
1997,1997,IT,Italy,P31_S15,Final consumption expenditure of NPISH,CLV10_EUR_HAB,"Chain linked volumes (2010), euro per capita",A,Annual,110.0
1998,1998,IT,Italy,P31_S15,Final consumption expenditure of NPISH,CLV10_EUR_HAB,"Chain linked volumes (2010), euro per capita",A,Annual,120.0
1999,1999,IT,Italy,P31_S15,Final consumption expenditure of NPISH,CLV10_EUR_HAB,"Chain linked volumes (2010), euro per capita",A,Annual,130.0
2000,2000,IT,Italy,P31_S15,Final consumption expenditure of NPISH,CLV10_EUR_HAB,"Chain linked volumes (2010), euro per capita",A,Annual,130.0
2001,2001,IT,Italy,P31_S15,Final consumption expenditure of NPISH,CLV10_EUR_HAB,"Chain linked volumes (2010), euro per capita",A,Annual,130.0
2002,2002,IT,Italy,P31_S15,Final consumption expenditure of NPISH,CLV10_EUR_HAB,"Chain linked volumes (2010), euro per capita",A,Annual,140.0
2003,2003,IT,Italy,P31_S15,Final consumption expenditure of NPISH,CLV10_EUR_HAB,"Chain linked volumes (2010), euro per capita",A,Annual,140.0
2004,2004,IT,Italy,P31_S15,Final consumption expenditure of NPISH,CLV10_EUR_HAB,"Chain linked volumes (2010), euro per capita",A,Annual,140.0
2005,2005,IT,Italy,P31_S15,Final consumption expenditure of NPISH,CLV10_EUR_HAB,"Chain linked volumes (2010), euro per capita",A,Annual,140.0
2006,2006,IT,Italy,P31_S15,Final consumption expenditure of NPISH,CLV10_EUR_HAB,"Chain linked volumes (2010), euro per capita",A,Annual,150.0
2007,2007,IT,Italy,P31_S15,Final consumption expenditure of NPISH,CLV10_EUR_HAB,"Chain linked volumes (2010), euro per capita",A,Annual,150.0
2008,2008,IT,Italy,P31_S15,Final consumption expenditure of NPISH,CLV10_EUR_HAB,"Chain linked volumes (2010), euro per capita",A,Annual,140.0
2009,2009,IT,Italy,P31_S15,Final consumption expenditure of NPISH,CLV10_EUR_HAB,"Chain linked volumes (2010), euro per capita",A,Annual,150.0
2010,2010,IT,Italy,P31_S15,Final consumption expenditure of NPISH,CLV10_EUR_HAB,"Chain linked volumes (2010), euro per capita",A,Annual,150.0
2011,2011,IT,Italy,P31_S15,Final consumption expenditure of NPISH,CLV10_EUR_HAB,"Chain linked volumes (2010), euro per capita",A,Annual,150.0
2012,2012,IT,Italy,P31_S15,Final consumption expenditure of NPISH,CLV10_EUR_HAB,"Chain linked volumes (2010), euro per capita",A,Annual,140.0
2013,2013,IT,Italy,P31_S15,Final consumption expenditure of NPISH,CLV10_EUR_HAB,"Chain linked volumes (2010), euro per capita",A,Annual,140.0
2014,2014,IT,Italy,P31_S15,Final consumption expenditure of NPISH,CLV10_EUR_HAB,"Chain linked volumes (2010), euro per capita",A,Annual,140.0
2015,2015,IT,Italy,P31_S15,Final consumption expenditure of NPISH,CLV10_EUR_HAB,"Chain linked volumes (2010), euro per capita",A,Annual,140.0
2016,2016,IT,Italy,P31_S15,Final consumption expenditure of NPISH,CLV10_EUR_HAB,"Chain linked volumes (2010), euro per capita",A,Annual,140.0
2017,2017,IT,Italy,P31_S15,Final consumption expenditure of NPISH,CLV10_EUR_HAB,"Chain linked volumes (2010), euro per capita",A,Annual,140.0
2018,2018,IT,Italy,P31_S15,Final consumption expenditure of NPISH,CLV10_EUR_HAB,"Chain linked volumes (2010), euro per capita",A,Annual,150.0
2019,2019,IT,Italy,P31_S15,Final consumption expenditure of NPISH,CLV10_EUR_HAB,"Chain linked volumes (2010), euro per capita",A,Annual,150.0
2020,2020,IT,Italy,P31_S15,Final consumption expenditure of NPISH,CLV10_EUR_HAB,"Chain linked volumes (2010), euro per capita",A,Annual,120.0
2021,2021,IT,Italy,P31_S15,Final consumption expenditure of NPISH,CLV10_EUR_HAB,"Chain linked volumes (2010), euro per capita",A,Annual,140.0
2022,2022,IT,Italy,P31_S15,Final consumption expenditure of NPISH,CLV10_EUR_HAB,"Chain linked volumes (2010), euro per capita",A,Annual,140.0
