time,time_label,geo,geo_label,na_item,na_item_label,direct,direct_label,unit,unit_label,freq,freq_label,OBS_VALUE
2016,2016,ITF,Sud,B5N,"Balance of primary incomes/national income, net",BAL,Balance,EUR_HAB,Euro per inhabitant,A,Annual,13300.0
2017,2017,ITF,Sud,B5N,"Balance of primary incomes/national income, net",BAL,Balance,EUR_HAB,Euro per inhabitant,A,Annual,13500.0
2018,2018,ITF,Sud,B5N,"Balance of primary incomes/national income, net",BAL,Balance,EUR_HAB,Euro per inhabitant,A,Annual,13800.0
2019,2019,ITF,Sud,B5N,"Balance of primary incomes/national income, net",BAL,Balance,EUR_HAB,Euro per inhabitant,A,Annual,14000.0
2020,2020,ITF,Sud,B5N,"Balance of primary incomes/national income, net",BAL,Balance,EUR_HAB,Euro per inhabitant,A,Annual,13000.0
2021,2021,ITF,Sud,B5N,"Balance of primary incomes/national income, net",BAL,Balance,EUR_HAB,Euro per inhabitant,A,Annual,13900.0
2022,2022,ITF,Sud,B5N,"Balance of primary incomes/national income, net",BAL,Balance,EUR_HAB,Euro per inhabitant,A,Annual,15000.0
2023,2023,ITF,Sud,B5N,"Balance of primary incomes/national income, net",BAL,Balance,EUR_HAB,Euro per inhabitant,A,Annual,16000.0
2024,2024,ITF,Sud,B5N,"Balance of primary incomes/national income, net",BAL,Balance,EUR_HAB,Euro per inhabitant,A,Annual,16800.0
2000,2000,ITF1,Abruzzo,B5N,"Balance of primary incomes/national income, net",BAL,Balance,EUR_HAB,Euro per inhabitant,A,Annual,13800.0
2001,2001,ITF1,Abruzzo,B5N,"Balance of primary incomes/national income, net",BAL,Balance,EUR_HAB,Euro per inhabitant,A,Annual,14500.0
2002,2002,ITF1,Abruzzo,B5N,"Balance of primary incomes/national income, net",BAL,Balance,EUR_HAB,Euro per inhabitant,A,Annual,14800.0
2003,2003,ITF1,Abruzzo,B5N,"Balance of primary incomes/national income, net",BAL,Balance,EUR_HAB,Euro per inhabitant,A,Annual,15000.0
2004,2004,ITF1,Abruzzo,B5N,"Balance of primary incomes/national income, net",BAL,Balance,EUR_HAB,Euro per inhabitant,A,Annual,14900.0
2005,2005,ITF1,Abruzzo,B5N,"Balance of primary incomes/national income, net",BAL,Balance,EUR_HAB,Euro per inhabitant,A,Annual,15500.0
2006,2006,ITF1,Abruzzo,B5N,"Balance of primary incomes/national income, net",BAL,Balance,EUR_HAB,Euro per inhabitant,A,Annual,16100.0
