Type,Country/area,Subregion,Region,Plant / Project name,Unit / Phase name,Plant / Project name (local),Plant / Project name (other),Capacity (MW),Status,Start year,Retired year,Technology,Fuel,Hydrogen production,Hydrogen capable,Country/area 1 (hydropower only),Country/area 2 (hydropower only),Country/area 1 Capacity (MW) (hydropower only),Country/area 2 Capacity (MW) (hydropower only),Owner,Parent,CHP,CCS,Conversion/replacement,Unit conversion year,Conversion from/replacement of (fuel),Conversion from/replacement of (GEM unit ID),Captive Industry Type,Captive Industry Use,Captive Non Industry Use,Latitude,Longitude,Location accuracy,City,"Local area (taluk, county)","Major area (prefecture, district)","Subnational unit (state, province)",GEM location ID,GEM unit/phase ID,GEM.Wiki URL
hydropower,Italy,Southern Europe,Europe,Venaus hydroelectric plant,,,Venaus Mont-Cenis,230.0,operating,1967,,conventional storage,,,,Italy,,230.0,0.0,Enel SPA,,,,,,,,,,,45.1617,7.0091,exact,,Torino,,Piedmont,L602239,G602265,https://gem.wiki/Venaus_hydroelectric_plant
hydropower,Italy,Southern Europe,Europe,Venina hydroelectric plant,,,,327.0,operating,1923,,pumped storage,,,,Italy,,327.0,0.0,Edison SPA,,,,,,,,,,,46.1614,9.9252,exact,,Sondrio,,Lombardy,L602240,G602266,https://gem.wiki/Venina_hydroelectric_plant
geothermal,Italy,Southern Europe,Europe,Bagnore geothermal power plant,4,Centrale geotermica Bagnore,,40.0,operating,2014,,dry steam,,,,,,,,Enel Green Power [100%],,,,,,,,,,,42.8416,11.5588,exact,,Grosseto,,Tuscany,L100000700007,G100000700012,https://gem.wiki/Bagnore_geothermal_power_plant
geothermal,Italy,Southern Europe,Europe,Farinello geothermal power plant,--,Centrale geotermica Farinello,,60.0,operating,1995,,dry steam,,,,,,,,Enel Green Power [100%],,,,,,,,,,,43.2388,10.9047,exact,,Pisa,,Tuscany,L100000700051,G100000700079,https://gem.wiki/Farinello_geothermal_power_plant
geothermal,Italy,Southern Europe,Europe,Nuova Radicondoli geothermal power plant,--,Centrale geotermica Nuova Radicondoli,,40.0,operating,2002,,dry steam,,,,,,,,Enel Green Power [100%],,,,,,,,,,,43.1935,11.0446,exact,,Siena,,Tuscany,L100000700126,G100000700206,https://gem.wiki/Nuova_Radicondoli_geothermal_power_plant
geothermal,Italy,Southern Europe,Europe,Nuova San Martino geothermal power plant,--,Centrale geotermica Nuova San Martino,,40.0,operating,2005,,dry steam,,,,,,,,Enel Green Power [100%],,,,,,,,,,,43.1452,10.8325,exact,,Grosseto,,Tuscany,L100000700127,G100000700207,https://gem.wiki/Nuova_San_Martino_geothermal_power_plant
geothermal,Italy,Southern Europe,Europe,Nuova Serrazzano geothermal power plant,--,Centrale geotermica Nuova Serrazzano,,60.0,operating,2002,,dry steam,,,,,,,,Enel Green Power [100%],,,,,,,,,,,43.204,10.8003,exact,,Pisa,,Tuscany,L100000700128,G100000700208,https://gem.wiki/Nuova_Serrazzano_geothermal_power_plant
geothermal,Italy,Southern Europe,Europe,Travale geothermal power plant,4,Centrale geotermica Travale,,40.0,operating,2002,,dry steam,,,,,,,,Enel Green Power [100%],,,,,,,,,,,43.1708,11.039,exact,,Grosseto,,Tuscany,L100000700180,G100000700299,https://gem.wiki/Travale_geothermal_power_plant
geothermal,Italy,Southern Europe,Europe,Valle Secolo geothermal power plant,1,Centrale geotermica di Larderello Valle Secolo,,60.0,operating,1991,,dry steam,,,,,,,,Enel Green Power [100%],,,,,,,,,,,42.2362,10.8674,exact,,Grosseto,,Tuscany,L100000700186,G100000700310,https://gem.wiki/Valle_Secolo_geothermal_power_plant
geothermal,Italy,Southern Europe,Europe,Valle Secolo geothermal power plant,2,Centrale geotermica di Larderello Valle Secolo,,60.0,operating,1991,,dry steam,,,,,,,,Enel Green Power [100%],,,,,,,,,,,42.2362,10.8674,exact,,Grosseto,,Tuscany,L100000700186,G100000700311,https://gem.wiki/Valle_Secolo_geothermal_power_plant
