year,region,type,demand_GWh
2019,Lazio,Fonti tradizionali,10307.497
2019,Liguria,Fonti tradizionali,3144.6296
2019,Liguria,Saldo import/export,2655.762
2019,Liguria,Fonti rinnovabili,308.30540931
2019,Lombardia,Fonti rinnovabili,6356.76209626
2019,Lombardia,Saldo import/export,20584.498
2019,Lombardia,Fonti tradizionali,31316.637
2019,Marche,Fonti tradizionali,358.90533
2019,Marche,Saldo import/export,5179.241
2019,Marche,Fonti rinnovabili,1424.603426141
2019,Molise,Saldo import/export,-1994.448
2019,Molise,Fonti rinnovabili,1071.48873502
2019,Molise,Fonti tradizionali,2139.2473
2019,Piemonte,Saldo import/export,-4515.934
2019,Piemonte,Fonti tradizionali,18943.482
2019,Piemonte,Fonti rinnovabili,3465.940015863
2019,Puglia,Fonti tradizionali,18710.744
2019,Puglia,Saldo import/export,-10369.447
2019,Puglia,Fonti rinnovabili,10069.510282854
2019,Sardegna,Fonti tradizionali,8900.0
2019,Sardegna,Saldo import/export,-3628.5093
2019,Sardegna,Fonti rinnovabili,3500.312645424
2019,Sicilia,Saldo import/export,2772.3157
2019,Sicilia,Fonti tradizionali,10600.0
2019,Sicilia,Fonti rinnovabili,5300.188327807
2019,Toscana,Fonti tradizionali,8500.0
2019,Toscana,Saldo import/export,4156.358
2019,Toscana,Fonti rinnovabili,7400.734977692
2019,Trentino-Alto Adige,Fonti tradizionali,1100.0
2019,Trentino-Alto Adige,Fonti rinnovabili,809.8594178
2019,Trentino-Alto Adige,Saldo import/export,-4768.3276
2019,Umbria,Saldo import/export,1936.3694
2019,Umbria,Fonti tradizionali,1600.0
2019,Umbria,Fonti rinnovabili,701.30171545
2019,Valle d'Aosta,Saldo import/export,-1934.9442
2019,Valle d'Aosta,Fonti tradizionali,0.0
2019,Valle d'Aosta,Fonti rinnovabili,3.1034062
2019,Veneto,Fonti tradizionali,7000.0
2019,Veneto,Saldo import/export,16685.273
2019,Veneto,Fonti rinnovabili,3904.299930048
2020,Abruzzo,Fonti tradizionali,3762.19667261
2020,Abruzzo,Fonti rinnovabili,1500.47710339
2020,Abruzzo,Saldo import/export,-52.57502
2020,Basilicata,Saldo import/export,-714.9089
2020,Basilicata,Fonti tradizionali,656.260544095
2020,Basilicata,Fonti rinnovabili,3144.290065905
2020,Calabria,Fonti rinnovabili,3969.693634736
