DATAFLOW,LAST UPDATE,freq,regisveh,unit,vehicle,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG,CONF_STATUS
ESTAT:ROAD_TF_VEHMOV(1.0),17/12/25 23:00:00,A,TERNAT_REG,MIO_VKM,BUS_MCO_TRO,MK,2022,51.236,,
ESTAT:ROAD_TF_VEHMOV(1.0),17/12/25 23:00:00,A,TERNAT_REG,MIO_VKM,BUS_MCO_TRO,MK,2023,55.757,,
ESTAT:ROAD_TF_VEHMOV(1.0),17/12/25 23:00:00,A,TERNAT_REG,MIO_VKM,BUS_MCO_TRO,MK,2024,53.423,,
ESTAT:ROAD_TF_VEHMOV(1.0),17/12/25 23:00:00,A,TERNAT_REG,MIO_VKM,BUS_MCO_TRO,NL,2013,642,,
ESTAT:ROAD_TF_VEHMOV(1.0),17/12/25 23:00:00,A,TERNAT_REG,MIO_VKM,BUS_MCO_TRO,NL,2014,624,,
ESTAT:ROAD_TF_VEHMOV(1.0),17/12/25 23:00:00,A,TERNAT_REG,MIO_VKM,BUS_MCO_TRO,NL,2015,623,,
ESTAT:ROAD_TF_VEHMOV(1.0),17/12/25 23:00:00,A,TERNAT_REG,MIO_VKM,BUS_MCO_TRO,NL,2016,611,,
ESTAT:ROAD_TF_VEHMOV(1.0),17/12/25 23:00:00,A,TERNAT_REG,MIO_VKM,BUS_MCO_TRO,NL,2017,655,,
ESTAT:ROAD_TF_VEHMOV(1.0),17/12/25 23:00:00,A,TERNAT_REG,MIO_VKM,BUS_MCO_TRO,NL,2018,632,,
ESTAT:ROAD_TF_VEHMOV(1.0),17/12/25 23:00:00,A,TERNAT_REG,MIO_VKM,BUS_MCO_TRO,NL,2019,615,,
ESTAT:ROAD_TF_VEHMOV(1.0),17/12/25 23:00:00,A,TERNAT_REG,MIO_VKM,BUS_MCO_TRO,NL,2020,494,,
ESTAT:ROAD_TF_VEHMOV(1.0),17/12/25 23:00:00,A,TERNAT_REG,MIO_VKM,BUS_MCO_TRO,NL,2021,486,,
ESTAT:ROAD_TF_VEHMOV(1.0),17/12/25 23:00:00,A,TERNAT_REG,MIO_VKM,BUS_MCO_TRO,NL,2022,490,,
ESTAT:ROAD_TF_VEHMOV(1.0),17/12/25 23:00:00,A,TERNAT_REG,MIO_VKM,BUS_MCO_TRO,NL,2023,482,,
ESTAT:ROAD_TF_VEHMOV(1.0),17/12/25 23:00:00,A,TERNAT_REG,MIO_VKM,BUS_MCO_TRO,NL,2024,518,,
ESTAT:ROAD_TF_VEHMOV(1.0),17/12/25 23:00:00,A,TERNAT_REG,MIO_VKM,BUS_MCO_TRO,NO,2013,583,e,
ESTAT:ROAD_TF_VEHMOV(1.0),17/12/25 23:00:00,A,TERNAT_REG,MIO_VKM,BUS_MCO_TRO,NO,2014,572,e,
ESTAT:ROAD_TF_VEHMOV(1.0),17/12/25 23:00:00,A,TERNAT_REG,MIO_VKM,BUS_MCO_TRO,NO,2015,566,e,
ESTAT:ROAD_TF_VEHMOV(1.0),17/12/25 23:00:00,A,TERNAT_REG,MIO_VKM,BUS_MCO_TRO,NO,2016,568,e,
ESTAT:ROAD_TF_VEHMOV(1.0),17/12/25 23:00:00,A,TERNAT_REG,MIO_VKM,BUS_MCO_TRO,NO,2017,573,e,
ESTAT:ROAD_TF_VEHMOV(1.0),17/12/25 23:00:00,A,TERNAT_REG,MIO_VKM,BUS_MCO_TRO,NO,2018,580,,
ESTAT:ROAD_TF_VEHMOV(1.0),17/12/25 23:00:00,A,TERNAT_REG,MIO_VKM,BUS_MCO_TRO,NO,2019,583,e,
ESTAT:ROAD_TF_VEHMOV(1.0),17/12/25 23:00:00,A,TERNAT_REG,MIO_VKM,BUS_MCO_TRO,NO,2020,551,,
ESTAT:ROAD_TF_VEHMOV(1.0),17/12/25 23:00:00,A,TERNAT_REG,MIO_VKM,BUS_MCO_TRO,NO,2021,501,,
ESTAT:ROAD_TF_VEHMOV(1.0),17/12/25 23:00:00,A,TERNAT_REG,MIO_VKM,BUS_MCO_TRO,PL,2013,2011,,
ESTAT:ROAD_TF_VEHMOV(1.0),17/12/25 23:00:00,A,TERNAT_REG,MIO_VKM,BUS_MCO_TRO,PL,2014,1914,e,
ESTAT:ROAD_TF_VEHMOV(1.0),17/12/25 23:00:00,A,TERNAT_REG,MIO_VKM,BUS_MCO_TRO,PL,2015,1851,e,
ESTAT:ROAD_TF_VEHMOV(1.0),17/12/25 23:00:00,A,TERNAT_REG,MIO_VKM,BUS_MCO_TRO,RO,2013,2271,,
ESTAT:ROAD_TF_VEHMOV(1.0),17/12/25 23:00:00,A,TERNAT_REG,MIO_VKM,BUS_MCO_TRO,RO,2014,2538,,
ESTAT:ROAD_TF_VEHMOV(1.0),17/12/25 23:00:00,A,TERNAT_REG,MIO_VKM,BUS_MCO_TRO,RO,2015,2861,,
ESTAT:ROAD_TF_VEHMOV(1.0),17/12/25 23:00:00,A,TERNAT_REG,MIO_VKM,BUS_MCO_TRO,RO,2016,2994,,
ESTAT:ROAD_TF_VEHMOV(1.0),17/12/25 23:00:00,A,TERNAT_REG,MIO_VKM,BUS_MCO_TRO,RO,2017,3138,,
ESTAT:ROAD_TF_VEHMOV(1.0),17/12/25 23:00:00,A,TERNAT_REG,MIO_VKM,BUS_MCO_TRO,RO,2018,3295,,
ESTAT:ROAD_TF_VEHMOV(1.0),17/12/25 23:00:00,A,TERNAT_REG,MIO_VKM,BUS_MCO_TRO,RO,2019,3467,,
ESTAT:ROAD_TF_VEHMOV(1.0),17/12/25 23:00:00,A,TERNAT_REG,MIO_VKM,BUS_MCO_TRO,RO,2020,3655,,
ESTAT:ROAD_TF_VEHMOV(1.0),17/12/25 23:00:00,A,TERNAT_REG,MIO_VKM,BUS_MCO_TRO,RO,2021,3863,,
ESTAT:ROAD_TF_VEHMOV(1.0),17/12/25 23:00:00,A,TERNAT_REG,MIO_VKM,BUS_MCO_TRO,RO,2022,4092,,
ESTAT:ROAD_TF_VEHMOV(1.0),17/12/25 23:00:00,A,TERNAT_REG,MIO_VKM,BUS_MCO_TRO,RO,2023,4345,,
ESTAT:ROAD_TF_VEHMOV(1.0),17/12/25 23:00:00,A,TERNAT_REG,MIO_VKM,BUS_MCO_TRO,RO,2024,4625,,
ESTAT:ROAD_TF_VEHMOV(1.0),17/12/25 23:00:00,A,TERNAT_REG,MIO_VKM,BUS_MCO_TRO,SE,2013,971,,
ESTAT:ROAD_TF_VEHMOV(1.0),17/12/25 23:00:00,A,TERNAT_REG,MIO_VKM,BUS_MCO_TRO,SE,2014,970,,
