time,time_label,geo,geo_label,unit,unit_label,siec,siec_label,nrg_bal,nrg_bal_label,freq,freq_label,OBS_VALUE
2010,2010,IT,Italy,TJ,Terajoule,O4630,Liquefied petroleum gases,FC_OTH_HH_E,Final consumption - other sectors - households - energy use,A,Annual,0.0
2011,2011,IT,Italy,TJ,Terajoule,O4630,Liquefied petroleum gases,FC_OTH_HH_E,Final consumption - other sectors - households - energy use,A,Annual,0.0
2012,2012,IT,Italy,TJ,Terajoule,O4630,Liquefied petroleum gases,FC_OTH_HH_E,Final consumption - other sectors - households - energy use,A,Annual,0.0
2013,2013,IT,Italy,TJ,Terajoule,O4630,Liquefied petroleum gases,FC_OTH_HH_E,Final consumption - other sectors - households - energy use,A,Annual,0.0
2014,2014,IT,Italy,TJ,Terajoule,O4630,Liquefied petroleum gases,FC_OTH_HH_E,Final consumption - other sectors - households - energy use,A,Annual,0.0
2015,2015,IT,Italy,TJ,Terajoule,O4630,Liquefied petroleum gases,FC_OTH_HH_E,Final consumption - other sectors - households - energy use,A,Annual,45448.0
2016,2016,IT,Italy,TJ,Terajoule,O4630,Liquefied petroleum gases,FC_OTH_HH_E,Final consumption - other sectors - households - energy use,A,Annual,46828.046
2017,2017,IT,Italy,TJ,Terajoule,O4630,Liquefied petroleum gases,FC_OTH_HH_E,Final consumption - other sectors - households - energy use,A,Annual,48055.97
2018,2018,IT,Italy,TJ,Terajoule,O4630,Liquefied petroleum gases,FC_OTH_HH_E,Final consumption - other sectors - households - energy use,A,Annual,46728.41
2019,2019,IT,Italy,TJ,Terajoule,O4630,Liquefied petroleum gases,FC_OTH_HH_E,Final consumption - other sectors - households - energy use,A,Annual,46821.882
2020,2020,IT,Italy,TJ,Terajoule,O4630,Liquefied petroleum gases,FC_OTH_HH_E,Final consumption - other sectors - households - energy use,A,Annual,46080.822
2021,2021,IT,Italy,TJ,Terajoule,O4630,Liquefied petroleum gases,FC_OTH_HH_E,Final consumption - other sectors - households - energy use,A,Annual,48347.794
2022,2022,IT,Italy,TJ,Terajoule,O4630,Liquefied petroleum gases,FC_OTH_HH_E,Final consumption - other sectors - households - energy use,A,Annual,44845.998
2023,2023,IT,Italy,TJ,Terajoule,O4630,Liquefied petroleum gases,FC_OTH_HH_E,Final consumption - other sectors - households - energy use,A,Annual,44698.43
2024,2024,IT,Italy,TJ,Terajoule,O4630,Liquefied petroleum gases,FC_OTH_HH_E,Final consumption - other sectors - households - energy use,A,Annual,44324.369
2010,2010,IT,Italy,THS_T,Thousand tonnes,O4669,Other kerosene,FC_OTH_HH_E,Final consumption - other sectors - households - energy use,A,Annual,0.0
2011,2011,IT,Italy,THS_T,Thousand tonnes,O4669,Other kerosene,FC_OTH_HH_E,Final consumption - other sectors - households - energy use,A,Annual,0.0
2012,2012,IT,Italy,THS_T,Thousand tonnes,O4669,Other kerosene,FC_OTH_HH_E,Final consumption - other sectors - households - energy use,A,Annual,0.0
2013,2013,IT,Italy,THS_T,Thousand tonnes,O4669,Other kerosene,FC_OTH_HH_E,Final consumption - other sectors - households - energy use,A,Annual,0.0
2014,2014,IT,Italy,THS_T,Thousand tonnes,O4669,Other kerosene,FC_OTH_HH_E,Final consumption - other sectors - households - energy use,A,Annual,0.0
2015,2015,IT,Italy,THS_T,Thousand tonnes,O4669,Other kerosene,FC_OTH_HH_E,Final consumption - other sectors - households - energy use,A,Annual,1.0
2016,2016,IT,Italy,THS_T,Thousand tonnes,O4669,Other kerosene,FC_OTH_HH_E,Final consumption - other sectors - households - energy use,A,Annual,2.0
2017,2017,IT,Italy,THS_T,Thousand tonnes,O4669,Other kerosene,FC_OTH_HH_E,Final consumption - other sectors - households - energy use,A,Annual,2.0
