dataset,source_csv,has_italy,rows,country_col,status,out
Hypothetical global CO2 emissions - CDIAC (2014),Hypothetical global CO2 emissions - CDIAC (2014).csv,True,1,Entity,ok,sources/owid-datasets/italy/Hypothetical_global_CO2_emissions_-_CDIAC_2014_10590927.csv
Hypothetical meat consumption - OWID based on FAO & UN,Hypothetical meat consumption - OWID based on FAO & UN.csv,True,53,Entity,ok,sources/owid-datasets/italy/Hypothetical_meat_consumption_-_OWID_based_on_FAO_UN_1ee4bf8b.csv
IPCC Scenarios (IIASA),IPCC Scenarios (IIASA).csv,False,0,Entity,ok,
IQ Data - Pietschnig and Voracek (2015),IQ Data - Pietschnig and Voracek (2015).csv,False,0,Entity,ok,
"Incidence of child labor (England, Italy, US, World) - Cunningham and Viazzo (1996) and others","Incidence of child labor (England, Italy, US, World) - Cunningham and Viazzo (1996) and others.csv",True,8,Entity,ok,sources/owid-datasets/italy/Incidence_of_child_labor_England_Italy_US_World_-_Cunningham_and_Viazzo_1996_and_others_9f3a4f3a.csv
Incidence of managerial or professional jobs and collective-bargaining by gender - Blau and Kahn (20,Incidence of managerial or professional jobs and collective-bargaining by gender - Blau and Kahn (20.csv,False,0,Entity,ok,
Income Classification - World Bank (2017),Income Classification - World Bank (2017).csv,False,0,,read_fail: No columns to parse from file,
Income Classification - World Bank (2021),Income Classification - World Bank (2021).csv,False,0,,read_fail: No columns to parse from file,
"Incomes across the Distribution Database (Nolan, Thewissen, Roser) in levels (2016)","Incomes across the Distribution Database (Nolan, Thewissen, Roser) in levels (2016).csv",True,11,Entity,ok,sources/owid-datasets/italy/Incomes_across_the_Distribution_Database_Nolan_Thewissen_Roser_in_levels_2016_dd8a030b.csv
"Incomes across the Distribution Database (authored by Nolan, Thewissen, Roser; based on LIS) indexed","Incomes across the Distribution Database (authored by Nolan, Thewissen, Roser; based on LIS) indexed.csv",True,11,Entity,ok,sources/owid-datasets/italy/Incomes_across_the_Distribution_Database_authored_by_Nolan_Thewissen_Roser_based_on_LIS_indexed_b2187765.csv
"Incomes across the Distribution Database, Gini (2016)","Incomes across the Distribution Database, Gini (2016).csv",True,11,Entity,ok,sources/owid-datasets/italy/Incomes_across_the_Distribution_Database_Gini_2016_3ec592cb.csv
Indicators for !What is PPP!  - World Bank,Indicators for !What is PPP!  - World Bank.csv,True,26,Entity,ok,sources/owid-datasets/italy/Indicators_for_What_is_PPP_-_World_Bank_31faab42.csv
Industrial motive power in the UK 1800-70 (Musson (1976)),Industrial motive power in the UK 1800-70 (Musson (1976)).csv,False,0,Entity,ok,
Inequality before and after taxes – OECD (2008),Inequality before and after taxes – OECD (2008).csv,True,1,Entity,ok,sources/owid-datasets/italy/Inequality_before_and_after_taxes_OECD_2008_093e165c.csv
Inequality in Latin America - SEDLAC (CEDLAS and the World Bank),Inequality in Latin America - SEDLAC (CEDLAS and the World Bank).csv,False,0,Entity,ok,
Inequality in human development indices - UNDP (2019),Inequality in human development indices - UNDP (2019).csv,True,2,Entity,ok,sources/owid-datasets/italy/Inequality_in_human_development_indices_-_UNDP_2019_05497eab.csv
Infant mortality rate (IHME - 2017),Infant mortality rate (IHME - 2017).csv,True,28,Entity,ok,sources/owid-datasets/italy/Infant_mortality_rate_IHME_-_2017_f946b7e1.csv
Inheritance for women - How Was Life! (2014),Inheritance for women - How Was Life! (2014).csv,True,3,Entity,ok,sources/owid-datasets/italy/Inheritance_for_women_-_How_Was_Life_2014_e99bf444.csv
Integrated Network for Societal Conflict Research! Political Instability Task Force (PITF),Integrated Network for Societal Conflict Research! Political Instability Task Force (PITF).csv,False,0,Entity,ok,
"Intercontinental Trade - Costa, Palma and Reis (2015)","Intercontinental Trade - Costa, Palma and Reis (2015).csv",True,5,Entity,ok,sources/owid-datasets/italy/Intercontinental_Trade_-_Costa_Palma_and_Reis_2015_7df9a4ac.csv
"International Historical Statistics (Births per 1,000) - Brian Mitchell (2013)","International Historical Statistics (Births per 1,000) - Brian Mitchell (2013).csv",True,110,Entity,ok,sources/owid-datasets/italy/International_Historical_Statistics_Births_per_1_000_-_Brian_Mitchell_2013_adaa41f0.csv
"International Historical Statistics (Deaths per 1,000) - Brian Mitchell (2013)","International Historical Statistics (Deaths per 1,000) - Brian Mitchell (2013).csv",False,0,,read_fail: No columns to parse from file,
International Historical Statistics! European trade - Brian Mitchell (2015),International Historical Statistics! European trade - Brian Mitchell (2015).csv,True,43,Entity,ok,sources/owid-datasets/italy/International_Historical_Statistics_European_trade_-_Brian_Mitchell_2015_166101da.csv
Internet use in the US by age (Pew Research Center),Internet use in the US by age (Pew Research Center).csv,False,0,,read_fail: No columns to parse from file,
Interpersonal Trust - General Social Survey (GSS),Interpersonal Trust - General Social Survey (GSS).csv,False,0,Entity,ok,
Investment in renewables by technology - IRENA (2017),Investment in renewables by technology - IRENA (2017).csv,False,0,Entity,ok,
Job search methods US - Pew Research Center (2015),Job search methods US - Pew Research Center (2015).csv,False,0,Entity,ok,
Key Indicators,Key Indicators.csv,False,0,,read_fail: No columns to parse from file,
LGBT Marital Status in the US (Gallup 2017),LGBT Marital Status in the US (Gallup 2017).csv,False,0,Entity,ok,
LIS Key Figures – Luxumbourg Income Study,LIS Key Figures – Luxumbourg Income Study.csv,True,12,Entity,ok,sources/owid-datasets/italy/LIS_Key_Figures_Luxumbourg_Income_Study_c7dc9a63.csv
Lab-grown meat prices - NextBigFuture (2017) and United States Bureau of Labor Statistics (BLS) (201,Lab-grown meat prices - NextBigFuture (2017) and United States Bureau of Labor Statistics (BLS) (201.csv,False,0,Entity,ok,
Labor Force Participation Rates of Men Age 65 and Over in the US – OWID based on Short (2002) and OE,Labor Force Participation Rates of Men Age 65 and Over in the US – OWID based on Short (2002) and OE.csv,False,0,Entity,ok,
Labor productivity in cotton spinning (Chapman (1972)),Labor productivity in cotton spinning (Chapman (1972)).csv,False,0,Entity,ok,
Labor productivity in cotton spinning and weaving (Ellison (1886)),Labor productivity in cotton spinning and weaving (Ellison (1886)).csv,False,0,Entity,ok,
"Labor productivity per hour (Hill, Thomas, Dimsdale (2016), Bank of England)","Labor productivity per hour (Hill, Thomas, Dimsdale (2016), Bank of England).csv",False,0,Entity,ok,
Labour cost ratio (45-54 year-old population) 2009 - OECD (2012),Labour cost ratio (45-54 year-old population) 2009 - OECD (2012).csv,True,1,Entity,ok,sources/owid-datasets/italy/Labour_cost_ratio_45-54_year-old_population_2009_-_OECD_2012_75134838.csv
Land Use Data - HYDE (2017),Land Use Data - HYDE (2017).csv,False,0,Entity,ok,
Land Use Map by Area - OWID based on FAO,Land Use Map by Area - OWID based on FAO.csv,True,1,Entity,ok,sources/owid-datasets/italy/Land_Use_Map_by_Area_-_OWID_based_on_FAO_2cee8ff4.csv
Land under cereal production index - World Bank (2017),Land under cereal production index - World Bank (2017).csv,True,54,Entity,ok,sources/owid-datasets/italy/Land_under_cereal_production_index_-_World_Bank_2017_30526d4e.csv
Land use for biofuels,Land use for biofuels.csv,True,59,Entity,ok,sources/owid-datasets/italy/Land_use_for_biofuels_5556eb2b.csv
Land use since 10000BC (Ellis et al. (2020)),Land use since 10000BC (Ellis et al. (2020)).csv,False,0,Entity,ok,
Largest cities by population density - UN Habitat (2014),Largest cities by population density - UN Habitat (2014).csv,False,0,Entity,ok,
"Learning costs, J. Doyne Farmer and François Lafond (2016)","Learning costs, J. Doyne Farmer and François Lafond (2016).csv",False,0,Entity,ok,
Learning-Adjusted Years of Schooling - World Bank (2018),Learning-Adjusted Years of Schooling - World Bank (2018).csv,True,1,Entity,ok,sources/owid-datasets/italy/Learning-Adjusted_Years_of_Schooling_-_World_Bank_2018_10a32883.csv
Length of the work day! from 1890s to 1991 - Costa (2000),Length of the work day! from 1890s to 1991 - Costa (2000).csv,False,0,Entity,ok,
Length of the workday in 1880 - Atack and Bateman (1992),Length of the workday in 1880 - Atack and Bateman (1992).csv,False,0,Entity,ok,
Levels of Urbanization and per capita GNP in Various Regions - Bairoch (1988),Levels of Urbanization and per capita GNP in Various Regions - Bairoch (1988).csv,False,0,Entity,ok,
Life Expectancy (1950-2015) – UN Population Division (2015),Life Expectancy (1950-2015) – UN Population Division (2015).csv,True,13,Entity,ok,sources/owid-datasets/italy/Life_Expectancy_1950-2015_UN_Population_Division_2015_f1a9d8bc.csv
Life Expectancy (at birth) - World Bank (2015),Life Expectancy (at birth) - World Bank (2015).csv,True,54,Entity,ok,sources/owid-datasets/italy/Life_Expectancy_at_birth_-_World_Bank_2015_5ec8d975.csv
Life Expectancy at Birth (both genders) – Clio Infra,Life Expectancy at Birth (both genders) – Clio Infra.csv,True,140,Entity,ok,sources/owid-datasets/italy/Life_Expectancy_at_Birth_both_genders_Clio_Infra_b0a58c0e.csv
"Life expectancy (Gapminder, UN, IHME)","Life expectancy (Gapminder, UN, IHME).csv",True,217,Entity,ok,sources/owid-datasets/italy/Life_expectancy_Gapminder_UN_IHME_0aa12dec.csv
Life expectancy - OECD,Life expectancy - OECD.csv,True,44,Entity,ok,sources/owid-datasets/italy/Life_expectancy_-_OECD_46e6316a.csv
Life expectancy - Riley (2005) and UN ,Life expectancy - Riley (2005) and UN .csv,False,0,Entity,ok,
"Life expectancy - Riley (2005), Clio Infra (2015), and UN (2019)","Life expectancy - Riley (2005), Clio Infra (2015), and UN (2019).csv",True,148,Entity,ok,sources/owid-datasets/italy/Life_expectancy_-_Riley_2005_Clio_Infra_2015_and_UN_2019_551ba51d.csv
"Life expectancy at age 10, 1750-2100 - United Nations Population Division and Human Mortality Databa","Life expectancy at age 10, 1750-2100 - United Nations Population Division and Human Mortality Databa.csv",True,70,Entity,ok,sources/owid-datasets/italy/Life_expectancy_at_age_10_1750-2100_-_United_Nations_Population_Division_and_Human_Mortality_Databa_4624677e.csv
Life expectancy projections - UK ONS,Life expectancy projections - UK ONS.csv,False,0,Entity,ok,
Life expectancy – James Riley for data 1990 and earlier; WHO and World Bank for later data (by Max R,Life expectancy – James Riley for data 1990 and earlier; WHO and World Bank for later data (by Max R.csv,False,0,Entity,ok,
"Life expectation by sex at ages 0, 15, and 45 - OWID based on Hacker (2010) and the US Social Securi","Life expectation by sex at ages 0, 15, and 45 - OWID based on Hacker (2010) and the US Social Securi.csv",False,0,Entity,ok,
Life satisfaction – Eurobarometer (2017),Life satisfaction – Eurobarometer (2017).csv,True,42,Entity,ok,sources/owid-datasets/italy/Life_satisfaction_Eurobarometer_2017_1474acce.csv
Life satisfaction – World Value Survey (2014),Life satisfaction – World Value Survey (2014).csv,True,1,Entity,ok,sources/owid-datasets/italy/Life_satisfaction_World_Value_Survey_2014_751b4af9.csv
Life-cycle impacts of energy sources (UNECE),Life-cycle impacts of energy sources (UNECE).csv,False,0,Entity,ok,
Lighting efficiency in UK - OWID based on Fouquet & Pearson (2007),Lighting efficiency in UK - OWID based on Fouquet & Pearson (2007).csv,False,0,Entity,ok,
Literacy by years of schooling US 1947 – OECD (2014) ,Literacy by years of schooling US 1947 – OECD (2014) .csv,False,0,Entity,ok,
"Literacy in England, by sex - Schofield (1973), Houston (1982), Cressy (1980) ","Literacy in England, by sex - Schofield (1973), Houston (1982), Cressy (1980) .csv",False,0,Entity,ok,
Literacy rate (% of total respondents) - DHS Surveys,Literacy rate (% of total respondents) - DHS Surveys.csv,False,0,Entity,ok,
Literate world population (OurWorldInData based on OECD and UNESCO),Literate world population (OurWorldInData based on OECD and UNESCO).csv,True,1,Entity,ok,sources/owid-datasets/italy/Literate_world_population_OurWorldInData_based_on_OECD_and_UNESCO_66b82d6e.csv
Livestock counts - HYDE & FAO (2017),Livestock counts - HYDE & FAO (2017).csv,False,0,Entity,ok,
"Long run life expectancy - Gapminder, UN","Long run life expectancy - Gapminder, UN.csv",True,216,Entity,ok,sources/owid-datasets/italy/Long_run_life_expectancy_-_Gapminder_UN_a7f12367.csv
"Long run time use in Norway, by sex - Norway Statistics","Long run time use in Norway, by sex - Norway Statistics.csv",False,0,Entity,ok,
"Long term productivity - Bergeaud, Cette, and Lecat (2016)","Long term productivity - Bergeaud, Cette, and Lecat (2016).csv",True,217,Entity,ok,sources/owid-datasets/italy/Long_term_productivity_-_Bergeaud_Cette_and_Lecat_2016_80e37617.csv
Long-term energy transition in Europe - Gales et al. (2007),Long-term energy transition in Europe - Gales et al. (2007).csv,True,4,Entity,ok,sources/owid-datasets/italy/Long-term_energy_transition_in_Europe_-_Gales_et_al_2007_3c780da0.csv
"Long-term energy transitions - Energy History, Harvard (2016)","Long-term energy transitions - Energy History, Harvard (2016).csv",True,148,Entity,ok,sources/owid-datasets/italy/Long-term_energy_transitions_-_Energy_History_Harvard_2016_bfcbe4ad.csv
Long-term homicide rates in Europe - Eisner (2014),Long-term homicide rates in Europe - Eisner (2014).csv,False,0,,read_fail: No columns to parse from file,
"Long-term per capita fossil fuels - OWID based on UN, Gapminder, BP, Etemad & Luciana","Long-term per capita fossil fuels - OWID based on UN, Gapminder, BP, Etemad & Luciana.csv",True,117,Entity,ok,sources/owid-datasets/italy/Long-term_per_capita_fossil_fuels_-_OWID_based_on_UN_Gapminder_BP_Etemad_Luciana_ae536c61.csv
Long-term wheat yields - FAO (2017) & Bayliss-Smith (1984),Long-term wheat yields - FAO (2017) & Bayliss-Smith (1984).csv,True,58,Entity,ok,sources/owid-datasets/italy/Long-term_wheat_yields_-_FAO_2017_Bayliss-Smith_1984_14007319.csv
Long-term yields in the United Kingdom (2022),Long-term yields in the United Kingdom (2022).csv,False,0,Entity,ok,
Lost school grants - Reinikka and Svensson (2004),Lost school grants - Reinikka and Svensson (2004).csv,False,0,Entity,ok,
"Lowest paying occupations, percent female – NWLC (2014)","Lowest paying occupations, percent female – NWLC (2014).csv",False,0,Entity,ok,
"Lung cancer mortality rates (per 100,000) (2022)","Lung cancer mortality rates (per 100,000) (2022).csv",True,67,Entity,ok,sources/owid-datasets/italy/Lung_cancer_mortality_rates_per_100_000_2022_16ceb0c6.csv
MDG Final Evaluation (UN MDG Report),MDG Final Evaluation (UN MDG Report).csv,False,0,Entity,ok,
Maddison Project Database 2020 (Bolt and van Zanden (2020)),Maddison Project Database 2020 (Bolt and van Zanden (2020)).csv,True,711,Entity,ok,sources/owid-datasets/italy/Maddison_Project_Database_2020_Bolt_and_van_Zanden_2020_5374e3b1.csv
Malaria deaths - IHME (2016),Malaria deaths - IHME (2016).csv,True,27,Entity,ok,sources/owid-datasets/italy/Malaria_deaths_-_IHME_2016_45e02639.csv
Male and female life expectancy by age in the long run (Human Mortality Database (2018) and others),Male and female life expectancy by age in the long run (Human Mortality Database (2018) and others).csv,False,0,Entity,ok,
Male-to-female ratio high school courses in USA - Goldin et al.,Male-to-female ratio high school courses in USA - Goldin et al..csv,False,0,Entity,ok,
Marine stocks by region and taxa (ramlegacy),Marine stocks by region and taxa (ramlegacy).csv,False,0,Entity,ok,
Market share of iodized salt in European countries - European Commission (2006),Market share of iodized salt in European countries - European Commission (2006).csv,True,1,Entity,ok,sources/owid-datasets/italy/Market_share_of_iodized_salt_in_European_countries_-_European_Commission_2006_95f788c1.csv
"Maternal Mortality Ratio (Gapminder (2010), WHO (2019) and OECD (2022))","Maternal Mortality Ratio (Gapminder (2010), WHO (2019) and OECD (2022)).csv",True,50,Entity,ok,sources/owid-datasets/italy/Maternal_Mortality_Ratio_Gapminder_2010_WHO_2019_and_OECD_2022_f015575e.csv
Maternal deaths to 2030 (BAU vs. SDG Target) - based on World Bank & UN (2018),Maternal deaths to 2030 (BAU vs. SDG Target) - based on World Bank & UN (2018).csv,True,16,Entity,ok,sources/owid-datasets/italy/Maternal_deaths_to_2030_BAU_vs_SDG_Target_-_based_on_World_Bank_UN_2018_64891e53.csv
"Maternal mortality projection to 2030 (based on World Bank, 2018)","Maternal mortality projection to 2030 (based on World Bank, 2018).csv",True,16,Entity,ok,sources/owid-datasets/italy/Maternal_mortality_projection_to_2030_based_on_World_Bank_2018_1fa3d5ac.csv
Mean BMI - NCD RisC (2017),Mean BMI - NCD RisC (2017).csv,True,42,Entity,ok,sources/owid-datasets/italy/Mean_BMI_-_NCD_RisC_2017_a5ff8a65.csv
"Mean years of schooling, women (15 to 49) – Our World In Data (2017)","Mean years of schooling, women (15 to 49) – Our World In Data (2017).csv",True,13,Entity,ok,sources/owid-datasets/italy/Mean_years_of_schooling_women_15_to_49_Our_World_In_Data_2017_12fbdecc.csv
Measles London,Measles London.csv,False,0,Entity,ok,
Measures and indicators for Poverty - PovcalNet (World Bank) (2017),Measures and indicators for Poverty - PovcalNet (World Bank) (2017).csv,False,0,Entity,ok,
"Meat consumption in EU28 (OECD, 2018)","Meat consumption in EU28 (OECD, 2018).csv",False,0,Entity,ok,
"Meat consumption in the USA (USDA, 2018)","Meat consumption in the USA (USDA, 2018).csv",False,0,Entity,ok,
Meat conversion efficiencies - Alexander et al. (2016),Meat conversion efficiencies - Alexander et al. (2016).csv,False,0,Entity,ok,
Median UN Population Projections - Global vs Africa (OWID based on UN),Median UN Population Projections - Global vs Africa (OWID based on UN).csv,True,86,Entity,ok,sources/owid-datasets/italy/Median_UN_Population_Projections_-_Global_vs_Africa_OWID_based_on_UN_79311292.csv
Mental and substance use disorder disaggregated - IHME,Mental and substance use disorder disaggregated - IHME.csv,True,27,Entity,ok,sources/owid-datasets/italy/Mental_and_substance_use_disorder_disaggregated_-_IHME_61dbaedf.csv
Mental health as risk factor for substance use - Swendsen et al. (2010),Mental health as risk factor for substance use - Swendsen et al. (2010).csv,False,0,Entity,ok,
Mental health services across incomes - Wang et al. (2007),Mental health services across incomes - Wang et al. (2007).csv,True,1,Entity,ok,sources/owid-datasets/italy/Mental_health_services_across_incomes_-_Wang_et_al_2007_8c11f166.csv
Metal production - Clio Infra & USGS,Metal production - Clio Infra & USGS.csv,True,335,Entity,ok,sources/owid-datasets/italy/Metal_production_-_Clio_Infra_USGS_d31d1e8a.csv
"Methane emissions by sector (CAIT, 2020)","Methane emissions by sector (CAIT, 2020).csv",True,27,Entity,ok,sources/owid-datasets/italy/Methane_emissions_by_sector_CAIT_2020_8af666d6.csv
"Methane emissions by sector (CAIT, 2021)","Methane emissions by sector (CAIT, 2021).csv",True,29,Entity,ok,sources/owid-datasets/italy/Methane_emissions_by_sector_CAIT_2021_a6e8195f.csv
Milestones of Women's Political Representation - Paxton et al (2006),Milestones of Women's Political Representation - Paxton et al (2006).csv,True,125,Entity,ok,sources/owid-datasets/italy/Milestones_of_Women_s_Political_Representation_-_Paxton_et_al_2006_1de1c25d.csv
Military expenditure as a share of GDP - OWID based on COW & SIPRI (2017),Military expenditure as a share of GDP - OWID based on COW & SIPRI (2017).csv,True,153,Entity,ok,sources/owid-datasets/italy/Military_expenditure_as_a_share_of_GDP_-_OWID_based_on_COW_SIPRI_2017_8236cf58.csv
Mineral production (BGS (2016)),Mineral production (BGS (2016)).csv,True,34,Entity,ok,sources/owid-datasets/italy/Mineral_production_BGS_2016_ade9fbdf.csv
Minimum reading and maths proficiency (GEM Report (2017!8)),Minimum reading and maths proficiency (GEM Report (2017!8)).csv,True,1,Entity,ok,sources/owid-datasets/italy/Minimum_reading_and_maths_proficiency_GEM_Report_2017_8_a858a1f0.csv
Missing plastic budget (Lebreton et al. 2019),Missing plastic budget (Lebreton et al. 2019).csv,False,0,Entity,ok,
"Missing women estimates (Bongaarts & Guilmoto, 2015)","Missing women estimates (Bongaarts & Guilmoto, 2015).csv",False,0,Entity,ok,
Mobile Bank Accounts by Region - GSMA (2019),Mobile Bank Accounts by Region - GSMA (2019).csv,False,0,Entity,ok,
Mortality from all forms of violence  (IHME (2016)),Mortality from all forms of violence  (IHME (2016)).csv,True,27,Entity,ok,sources/owid-datasets/italy/Mortality_from_all_forms_of_violence_IHME_2016_bda3d65e.csv
Motor vehicles per 1000 people - NationMaster (2014),Motor vehicles per 1000 people - NationMaster (2014).csv,True,1,Entity,ok,sources/owid-datasets/italy/Motor_vehicles_per_1000_people_-_NationMaster_2014_5c9c460c.csv
Multidimensional Poverty Index (MPI) 2022 – Current estimates,Multidimensional Poverty Index (MPI) 2022 – Current estimates.csv,False,0,Entity,ok,
Multidimensional Poverty Index (MPI) 2022 – Harmonized over time estimates,Multidimensional Poverty Index (MPI) 2022 – Harmonized over time estimates.csv,False,0,Entity,ok,
Multinational Time Use Study (MTUS) - Gershuny and Fisher (2013),Multinational Time Use Study (MTUS) - Gershuny and Fisher (2013).csv,True,4,Entity,ok,sources/owid-datasets/italy/Multinational_Time_Use_Study_MTUS_-_Gershuny_and_Fisher_2013_722eb619.csv
NIH - DNA Sequencing Costs,NIH - DNA Sequencing Costs.csv,False,0,,read_fail: No columns to parse from file,
National Poverty Lines - Jolliffe and Prydz (2016),National Poverty Lines - Jolliffe and Prydz (2016).csv,True,1,Entity,ok,sources/owid-datasets/italy/National_Poverty_Lines_-_Jolliffe_and_Prydz_2016_edcd4d25.csv
"National poverty lines (Jolliffe et al., 2022)","National poverty lines (Jolliffe et al., 2022).csv",True,1,Entity,ok,sources/owid-datasets/italy/National_poverty_lines_Jolliffe_et_al_2022_c73ba872.csv
Natural disasters (EMDAT – decadal),Natural disasters (EMDAT – decadal).csv,True,12,Entity,ok,sources/owid-datasets/italy/Natural_disasters_EMDAT_decadal_8424a155.csv
Natural disasters (EMDAT),Natural disasters (EMDAT).csv,True,68,Entity,ok,sources/owid-datasets/italy/Natural_disasters_EMDAT_4295fac5.csv
Natural disasters from 1900 to 2019 - EMDAT (2020),Natural disasters from 1900 to 2019 - EMDAT (2020).csv,False,0,Entity,ok,
Neglected Tropical Diseases (Lymphatic Filariasis) Population requiring PC not-treated and treated -,Neglected Tropical Diseases (Lymphatic Filariasis) Population requiring PC not-treated and treated -.csv,False,0,Entity,ok,
Neonatal Mortality Rate - via Childmortality.org (2015),Neonatal Mortality Rate - via Childmortality.org (2015).csv,True,56,Entity,ok,sources/owid-datasets/italy/Neonatal_Mortality_Rate_-_via_Childmortality_org_2015_3eb7aa20.csv
Neonatal tetanus incidence,Neonatal tetanus incidence.csv,False,0,Entity,ok,
"New estimates of hours of work per week, 1900-1957 - Jones (1963)","New estimates of hours of work per week, 1900-1957 - Jones (1963).csv",False,0,Entity,ok,
Newsworthiness of disasters by disaster type and region - Eisensee and Strömberg (2007),Newsworthiness of disasters by disaster type and region - Eisensee and Strömberg (2007).csv,False,0,Entity,ok,
"Nitrous oxide emissions by sector (CAIT, 2020)","Nitrous oxide emissions by sector (CAIT, 2020).csv",True,27,Entity,ok,sources/owid-datasets/italy/Nitrous_oxide_emissions_by_sector_CAIT_2020_06ac06bf.csv
"Nitrous oxide emissions by sector (CAIT, 2021)","Nitrous oxide emissions by sector (CAIT, 2021).csv",True,29,Entity,ok,sources/owid-datasets/italy/Nitrous_oxide_emissions_by_sector_CAIT_2021_e73b8b64.csv
Non-commercial flight distance records - Wikipedia,Non-commercial flight distance records - Wikipedia.csv,False,0,,read_fail: No columns to parse from file,
"Nuclear weapons proliferation total – OWID based on Bleek (2017), Nuclear Threat Initiative (2022)","Nuclear weapons proliferation total – OWID based on Bleek (2017), Nuclear Threat Initiative (2022).csv",False,0,Entity,ok,
"Nuclear weapons proliferation – OWID based on Bleek (2017), Nuclear Threat Initiative (2022)","Nuclear weapons proliferation – OWID based on Bleek (2017), Nuclear Threat Initiative (2022).csv",True,85,Entity,ok,sources/owid-datasets/italy/Nuclear_weapons_proliferation_OWID_based_on_Bleek_2017_Nuclear_Threat_Initiative_2022_49b07144.csv
Nuclear weapons tests – Arms Control Association (2020),Nuclear weapons tests – Arms Control Association (2020).csv,False,0,Entity,ok,
"Number and percentage of current smokers, by sex (American Lung Association (2011))","Number and percentage of current smokers, by sex (American Lung Association (2011)).csv",False,0,Entity,ok,
"Number of child deaths 1950-2017 (IHME, 2017)","Number of child deaths 1950-2017 (IHME, 2017).csv",True,14,Entity,ok,sources/owid-datasets/italy/Number_of_child_deaths_1950-2017_IHME_2017_13242d91.csv
Number of children who are stunted (OWID based on UNICEF!WHO),Number of children who are stunted (OWID based on UNICEF!WHO).csv,False,0,Entity,ok,
Number of countries with minimum urban population threshold (UN;2018),Number of countries with minimum urban population threshold (UN;2018).csv,False,0,Entity,ok,
Number of deaths due to tetanus,Number of deaths due to tetanus.csv,True,27,Entity,ok,sources/owid-datasets/italy/Number_of_deaths_due_to_tetanus_37c72125.csv
Number of deaths in England and Wales by age - ONS,Number of deaths in England and Wales by age - ONS.csv,False,0,Entity,ok,
Number of direct national elections — NELDA (2015),Number of direct national elections — NELDA (2015).csv,True,17,Entity,ok,sources/owid-datasets/italy/Number_of_direct_national_elections_NELDA_2015_7efbc24f.csv
Number of infant deaths (IHME - 2017),Number of infant deaths (IHME - 2017).csv,True,28,Entity,ok,sources/owid-datasets/italy/Number_of_infant_deaths_IHME_-_2017_90a3ec7c.csv
Number of neonatal deaths (IHME - 2017),Number of neonatal deaths (IHME - 2017).csv,True,28,Entity,ok,sources/owid-datasets/italy/Number_of_neonatal_deaths_IHME_-_2017_c02d1c51.csv
Number of observations in Povcal per decade - OWID (2017),Number of observations in Povcal per decade - OWID (2017).csv,False,0,Entity,ok,
Number of parties to multilateral environmental agreements - UNCTAD,Number of parties to multilateral environmental agreements - UNCTAD.csv,False,0,Entity,ok,
"Number of people living in extreme poverty, by world region (World Bank PIP)","Number of people living in extreme poverty, by world region (World Bank PIP).csv",False,0,,read_fail: No columns to parse from file,
Number of people with and without access to improved water sources - World Bank and UN,Number of people with and without access to improved water sources - World Bank and UN.csv,False,0,,read_fail: No columns to parse from file,
"Number of people with and without energy access (OWID based on World Bank, 2021)","Number of people with and without energy access (OWID based on World Bank, 2021).csv",False,0,,read_fail: No columns to parse from file,
"Number of people without access to safe water and sanitation (WHO Wash, 2019)","Number of people without access to safe water and sanitation (WHO Wash, 2019).csv",True,16,Entity,ok,sources/owid-datasets/italy/Number_of_people_without_access_to_safe_water_and_sanitation_WHO_Wash_2019_10cfab0f.csv
Number of polio cases per one million population - WHO (2017),Number of polio cases per one million population - WHO (2017).csv,True,36,Entity,ok,sources/owid-datasets/italy/Number_of_polio_cases_per_one_million_population_-_WHO_2017_ab5c2b81.csv
Number of published titles - Simons (2001),Number of published titles - Simons (2001).csv,False,0,Entity,ok,
"Number of state-based conflicts, by conflict type and region (UCDP-PRIO)","Number of state-based conflicts, by conflict type and region (UCDP-PRIO).csv",False,0,Entity,ok,
Number of surveys in the past decade (World Bank PIP),Number of surveys in the past decade (World Bank PIP).csv,False,0,,read_fail: No columns to parse from file,
Number of tourist departures per 1000 - World Bank & UN (2019),Number of tourist departures per 1000 - World Bank & UN (2019).csv,True,22,Entity,ok,sources/owid-datasets/italy/Number_of_tourist_departures_per_1000_-_World_Bank_UN_2019_da3f9df5.csv
OECD - Trust in government,OECD - Trust in government.csv,False,0,,read_fail: No columns to parse from file,
OECD Education! PISA Test Scores - PISA (2015),OECD Education! PISA Test Scores - PISA (2015).csv,True,5,Entity,ok,sources/owid-datasets/italy/OECD_Education_PISA_Test_Scores_-_PISA_2015_1b934dbb.csv
OECD Social Spending- Family,OECD Social Spending- Family.csv,True,10,Entity,ok,sources/owid-datasets/italy/OECD_Social_Spending-_Family_4591ac86.csv
OECD Social Spending- Health,OECD Social Spending- Health.csv,True,10,Entity,ok,sources/owid-datasets/italy/OECD_Social_Spending-_Health_a820c1cc.csv
OECD Social Spending- Housing,OECD Social Spending- Housing.csv,True,10,Entity,ok,sources/owid-datasets/italy/OECD_Social_Spending-_Housing_6a9b2b39.csv
OECD Social Spending- Incapacity related,OECD Social Spending- Incapacity related.csv,True,10,Entity,ok,sources/owid-datasets/italy/OECD_Social_Spending-_Incapacity_related_b62ba5ac.csv
OECD Social Spending- Old Age,OECD Social Spending- Old Age.csv,True,10,Entity,ok,sources/owid-datasets/italy/OECD_Social_Spending-_Old_Age_531c715b.csv
