year,region,province,activity,class,consumption_GWh
2015,Campania,Salerno,Manifatturiera di base,Materiali da costruzione,64.627692
2015,Campania,Salerno,,,0.0
2015,Campania,Salerno,Manifatturiera di base,Metalli non ferrosi,7.088178
2015,Campania,Salerno,Manifatturiera non di base,Lavorazione plastica e gomma,128.194637
2015,Campania,Salerno,Energia ed acqua,Estrazione combustibili,0.220936
2015,Campania,Salerno,Manifatturiera non di base,Altre manifatturiere,12.164941
2015,Campania,Salerno,Manifatturiera di base,Chimica,92.048109
2015,Campania,Salerno,Energia ed acqua,Raffinazione e cokerie,2.368135
2015,Campania,Salerno,Energia ed acqua,Elettricità e gas,45.979836
2015,Campania,Salerno,Manifatturiera non di base,Alimentare,237.951093
2015,Campania,Salerno,Manifatturiera di base,Cartaria,164.859346
2015,Campania,Salerno,,,22.859077
2015,Campania,Salerno,Manifatturiera non di base,Mezzi di trasporto,12.15361
2015,Campania,Salerno,Manifatturiera non di base,Legno e mobilio,13.235031
2015,Emilia-Romagna,Bologna,Manifatturiera non di base,Altre manifatturiere,22.494927
2015,Emilia-Romagna,Bologna,Manifatturiera non di base,"Tessile, abbigl. e calzature",35.565583
2015,Emilia-Romagna,Bologna,Manifatturiera di base,Cartaria,72.750417
2015,Emilia-Romagna,Bologna,Manifatturiera di base,Materiali da costruzione,142.535561
2015,Emilia-Romagna,Bologna,Manifatturiera non di base,Alimentare,188.17604
2015,Emilia-Romagna,Bologna,Manifatturiera non di base,Mezzi di trasporto,53.154581
2015,Emilia-Romagna,Bologna,Manifatturiera non di base,Lavorazione plastica e gomma,167.935134
2015,Emilia-Romagna,Bologna,Energia ed acqua,Elettricità e gas,34.831442
2015,Emilia-Romagna,Bologna,Manifatturiera non di base,Meccanica,621.509637
2015,Emilia-Romagna,Bologna,Manifatturiera di base,Chimica,148.245747
2015,Emilia-Romagna,Bologna,Energia ed acqua,Estrazione combustibili,2.74845
2015,Emilia-Romagna,Bologna,,,0.0
2015,Emilia-Romagna,Bologna,Manifatturiera di base,Siderurgica,1.585631
2015,Emilia-Romagna,Bologna,,,33.905777
2015,Emilia-Romagna,Bologna,Manifatturiera di base,Metalli non ferrosi,12.811758
2015,Emilia-Romagna,Bologna,Manifatturiera non di base,Legno e mobilio,25.642689
2015,Emilia-Romagna,Bologna,Energia ed acqua,Raffinazione e cokerie,1.972813
2015,Emilia-Romagna,Bologna,Energia ed acqua,Acquedotti,96.43949
2015,Emilia-Romagna,Ferrara,Manifatturiera di base,Materiali da costruzione,23.333475
2015,Emilia-Romagna,Ferrara,Manifatturiera non di base,Lavorazione plastica e gomma,39.128505
2015,Emilia-Romagna,Ferrara,Manifatturiera non di base,Alimentare,102.515306
2015,Emilia-Romagna,Ferrara,Manifatturiera non di base,Meccanica,260.499322
2015,Emilia-Romagna,Ferrara,Manifatturiera non di base,"Tessile, abbigl. e calzature",6.016891
2015,Emilia-Romagna,Ferrara,Energia ed acqua,Elettricità e gas,16.040958
2015,Emilia-Romagna,Ferrara,Manifatturiera di base,Cartaria,77.856937
2015,Emilia-Romagna,Ferrara,Manifatturiera non di base,Altre manifatturiere,8.453701
2015,Emilia-Romagna,Ferrara,Manifatturiera non di base,Mezzi di trasporto,2.809569
2015,Emilia-Romagna,Ferrara,Manifatturiera di base,Chimica,593.391229
2015,Emilia-Romagna,Ferrara,,,4.736235
2015,Emilia-Romagna,Ferrara,Manifatturiera di base,Metalli non ferrosi,5.591427
2015,Emilia-Romagna,Ferrara,Energia ed acqua,Raffinazione e cokerie,0.0
2015,Emilia-Romagna,Ferrara,Energia ed acqua,Estrazione combustibili,0.294123
2015,Emilia-Romagna,Ferrara,Manifatturiera di base,Siderurgica,2.709408
2015,Emilia-Romagna,Ferrara,,,0.0
2015,Emilia-Romagna,Ferrara,Manifatturiera non di base,Legno e mobilio,5.345046
2015,Emilia-Romagna,Ferrara,Energia ed acqua,Acquedotti,41.581993
2015,Emilia-Romagna,Forlì-Cesena,Manifatturiera non di base,Lavorazione plastica e gomma,149.759801
2015,Emilia-Romagna,Forlì-Cesena,Manifatturiera non di base,Mezzi di trasporto,6.272127
2015,Emilia-Romagna,Forlì-Cesena,Energia ed acqua,Estrazione combustibili,6.038409
2015,Emilia-Romagna,Forlì-Cesena,Manifatturiera di base,Siderurgica,2.421062
2015,Emilia-Romagna,Forlì-Cesena,Manifatturiera non di base,Legno e mobilio,37.377487
2015,Emilia-Romagna,Forlì-Cesena,Energia ed acqua,Acquedotti,26.785143
2015,Emilia-Romagna,Forlì-Cesena,Energia ed acqua,Elettricità e gas,7.313078
2015,Emilia-Romagna,Forlì-Cesena,Manifatturiera non di base,Alimentare,171.492326
2015,Emilia-Romagna,Forlì-Cesena,Manifatturiera di base,Cartaria,9.346068
2015,Emilia-Romagna,Forlì-Cesena,,,0.0
2015,Emilia-Romagna,Forlì-Cesena,Manifatturiera di base,Chimica,14.88172
2015,Emilia-Romagna,Forlì-Cesena,Manifatturiera non di base,Altre manifatturiere,17.626897
2015,Emilia-Romagna,Forlì-Cesena,Manifatturiera di base,Materiali da costruzione,12.378702
2015,Emilia-Romagna,Forlì-Cesena,Manifatturiera di base,Metalli non ferrosi,0.438493
2015,Emilia-Romagna,Forlì-Cesena,Manifatturiera non di base,"Tessile, abbigl. e calzature",22.302554
2015,Emilia-Romagna,Forlì-Cesena,Energia ed acqua,Raffinazione e cokerie,0.024893
2015,Emilia-Romagna,Forlì-Cesena,Manifatturiera non di base,Meccanica,121.58716
2015,Emilia-Romagna,Forlì-Cesena,,,9.429438
2015,Emilia-Romagna,Modena,Manifatturiera di base,Materiali da costruzione,1085.100611
2015,Emilia-Romagna,Modena,Manifatturiera di base,Metalli non ferrosi,1.797027
2015,Emilia-Romagna,Modena,Energia ed acqua,Acquedotti,33.64437
2015,Emilia-Romagna,Modena,Manifatturiera di base,Chimica,40.180122
2015,Emilia-Romagna,Modena,Manifatturiera non di base,Alimentare,317.039818
2015,Emilia-Romagna,Modena,Energia ed acqua,Estrazione combustibili,1.281005
2015,Emilia-Romagna,Modena,Manifatturiera di base,Cartaria,42.260557
2015,Emilia-Romagna,Modena,Energia ed acqua,Raffinazione e cokerie,0.029169
2015,Emilia-Romagna,Modena,Manifatturiera non di base,"Tessile, abbigl. e calzature",47.87644
2015,Emilia-Romagna,Modena,,,26.742954
2015,Emilia-Romagna,Modena,Manifatturiera non di base,Lavorazione plastica e gomma,71.581856
2015,Emilia-Romagna,Modena,Manifatturiera non di base,Meccanica,413.875095
2015,Emilia-Romagna,Modena,,,0.0
2015,Emilia-Romagna,Modena,Manifatturiera non di base,Altre manifatturiere,16.888564
2015,Emilia-Romagna,Modena,Manifatturiera non di base,Legno e mobilio,16.271275
2015,Emilia-Romagna,Modena,Energia ed acqua,Elettricità e gas,54.580441
2015,Emilia-Romagna,Modena,Manifatturiera di base,Siderurgica,14.845628
2015,Emilia-Romagna,Modena,Manifatturiera non di base,Mezzi di trasporto,154.492486
2015,Emilia-Romagna,Parma,Energia ed acqua,Raffinazione e cokerie,0.627075
2015,Emilia-Romagna,Parma,Manifatturiera di base,Cartaria,37.070368
2015,Emilia-Romagna,Parma,Manifatturiera di base,Chimica,30.858144
2015,Emilia-Romagna,Parma,Manifatturiera di base,Metalli non ferrosi,0.596178
2015,Emilia-Romagna,Parma,Manifatturiera non di base,Legno e mobilio,13.058946
2015,Emilia-Romagna,Parma,Manifatturiera non di base,Meccanica,178.585116
2015,Emilia-Romagna,Parma,,,15.783509
2015,Emilia-Romagna,Parma,Manifatturiera non di base,Altre manifatturiere,10.91822
