zone,eic,datetime,price_eur_mwh
IT-North,10Y1001A1001A73I,2026-04-26 16:30:00+02:00,52.95
IT-North,10Y1001A1001A73I,2026-04-26 16:45:00+02:00,82.34
IT-North,10Y1001A1001A73I,2026-04-26 17:00:00+02:00,92.75
IT-North,10Y1001A1001A73I,2026-04-26 17:15:00+02:00,116.3
IT-North,10Y1001A1001A73I,2026-04-26 17:30:00+02:00,140.54
IT-North,10Y1001A1001A73I,2026-04-26 17:45:00+02:00,140.85
IT-North,10Y1001A1001A73I,2026-04-26 18:00:00+02:00,116.3
IT-North,10Y1001A1001A73I,2026-04-26 18:15:00+02:00,140.85
IT-North,10Y1001A1001A73I,2026-04-26 18:30:00+02:00,140.85
IT-North,10Y1001A1001A73I,2026-04-26 18:45:00+02:00,170.0
IT-North,10Y1001A1001A73I,2026-04-26 19:00:00+02:00,140.85
IT-North,10Y1001A1001A73I,2026-04-26 19:15:00+02:00,140.85
IT-North,10Y1001A1001A73I,2026-04-26 19:30:00+02:00,164.47
IT-North,10Y1001A1001A73I,2026-04-26 19:45:00+02:00,183.57
IT-North,10Y1001A1001A73I,2026-04-26 20:00:00+02:00,158.33
IT-North,10Y1001A1001A73I,2026-04-26 20:15:00+02:00,174.23
IT-North,10Y1001A1001A73I,2026-04-26 20:30:00+02:00,179.06
IT-North,10Y1001A1001A73I,2026-04-26 20:45:00+02:00,179.06
IT-North,10Y1001A1001A73I,2026-04-26 21:00:00+02:00,157.5
IT-North,10Y1001A1001A73I,2026-04-26 21:15:00+02:00,156.06
IT-North,10Y1001A1001A73I,2026-04-26 21:30:00+02:00,157.09
IT-North,10Y1001A1001A73I,2026-04-26 21:45:00+02:00,140.85
IT-North,10Y1001A1001A73I,2026-04-26 22:00:00+02:00,157.5
IT-North,10Y1001A1001A73I,2026-04-26 22:15:00+02:00,141.11
IT-North,10Y1001A1001A73I,2026-04-26 22:30:00+02:00,140.85
IT-North,10Y1001A1001A73I,2026-04-26 22:45:00+02:00,140.54
IT-North,10Y1001A1001A73I,2026-04-26 23:00:00+02:00,140.42
IT-North,10Y1001A1001A73I,2026-04-26 23:15:00+02:00,134.0
IT-North,10Y1001A1001A73I,2026-04-26 23:30:00+02:00,124.54
IT-North,10Y1001A1001A73I,2026-04-26 23:45:00+02:00,121.44
IT-North,10Y1001A1001A73I,2026-04-27 00:00:00+02:00,129.54
IT-North,10Y1001A1001A73I,2026-04-27 00:15:00+02:00,124.77
IT-North,10Y1001A1001A73I,2026-04-27 00:30:00+02:00,121.54
IT-North,10Y1001A1001A73I,2026-04-27 00:45:00+02:00,120.27
IT-North,10Y1001A1001A73I,2026-04-27 01:00:00+02:00,120.27
IT-North,10Y1001A1001A73I,2026-04-27 01:15:00+02:00,120.27
IT-North,10Y1001A1001A73I,2026-04-27 01:30:00+02:00,117.25
IT-North,10Y1001A1001A73I,2026-04-27 01:45:00+02:00,118.25
IT-North,10Y1001A1001A73I,2026-04-27 02:00:00+02:00,119.51
IT-North,10Y1001A1001A73I,2026-04-27 02:15:00+02:00,120.27
IT-North,10Y1001A1001A73I,2026-04-27 02:30:00+02:00,120.27
IT-North,10Y1001A1001A73I,2026-04-27 02:45:00+02:00,120.27
IT-North,10Y1001A1001A73I,2026-04-27 03:00:00+02:00,120.05
IT-North,10Y1001A1001A73I,2026-04-27 03:15:00+02:00,120.27
IT-North,10Y1001A1001A73I,2026-04-27 03:30:00+02:00,120.27
IT-North,10Y1001A1001A73I,2026-04-27 03:45:00+02:00,120.27
IT-North,10Y1001A1001A73I,2026-04-27 04:00:00+02:00,120.27
IT-North,10Y1001A1001A73I,2026-04-27 04:15:00+02:00,120.27
IT-North,10Y1001A1001A73I,2026-04-27 04:30:00+02:00,123.56
IT-North,10Y1001A1001A73I,2026-04-27 04:45:00+02:00,124.72
IT-North,10Y1001A1001A73I,2026-04-27 05:00:00+02:00,120.19
IT-North,10Y1001A1001A73I,2026-04-27 05:15:00+02:00,121.83
IT-North,10Y1001A1001A73I,2026-04-27 05:30:00+02:00,134.96
IT-North,10Y1001A1001A73I,2026-04-27 05:45:00+02:00,137.36
IT-North,10Y1001A1001A73I,2026-04-27 06:00:00+02:00,137.23
IT-North,10Y1001A1001A73I,2026-04-27 06:15:00+02:00,149.14
IT-North,10Y1001A1001A73I,2026-04-27 06:30:00+02:00,153.93
IT-North,10Y1001A1001A73I,2026-04-27 06:45:00+02:00,159.7
IT-North,10Y1001A1001A73I,2026-04-27 07:00:00+02:00,162.79
IT-North,10Y1001A1001A73I,2026-04-27 07:15:00+02:00,157.34
IT-North,10Y1001A1001A73I,2026-04-27 07:30:00+02:00,156.43
IT-North,10Y1001A1001A73I,2026-04-27 07:45:00+02:00,155.23
IT-North,10Y1001A1001A73I,2026-04-27 08:00:00+02:00,156.8
IT-North,10Y1001A1001A73I,2026-04-27 08:15:00+02:00,153.08
IT-North,10Y1001A1001A73I,2026-04-27 08:30:00+02:00,142.25
IT-North,10Y1001A1001A73I,2026-04-27 08:45:00+02:00,137.11
IT-North,10Y1001A1001A73I,2026-04-27 09:00:00+02:00,142.25
IT-North,10Y1001A1001A73I,2026-04-27 09:15:00+02:00,138.06
IT-North,10Y1001A1001A73I,2026-04-27 09:30:00+02:00,120.27
IT-North,10Y1001A1001A73I,2026-04-27 09:45:00+02:00,112.3
IT-North,10Y1001A1001A73I,2026-04-27 10:00:00+02:00,133.13
IT-North,10Y1001A1001A73I,2026-04-27 10:15:00+02:00,120.27
IT-North,10Y1001A1001A73I,2026-04-27 10:30:00+02:00,108.68
IT-North,10Y1001A1001A73I,2026-04-27 10:45:00+02:00,105.0
IT-North,10Y1001A1001A73I,2026-04-27 11:00:00+02:00,99.3
IT-North,10Y1001A1001A73I,2026-04-27 11:15:00+02:00,100.0
IT-North,10Y1001A1001A73I,2026-04-27 11:30:00+02:00,77.3
IT-North,10Y1001A1001A73I,2026-04-27 11:45:00+02:00,52.23
IT-North,10Y1001A1001A73I,2026-04-27 12:00:00+02:00,79.99
IT-North,10Y1001A1001A73I,2026-04-27 12:15:00+02:00,64.1
IT-North,10Y1001A1001A73I,2026-04-27 12:30:00+02:00,60.0
IT-North,10Y1001A1001A73I,2026-04-27 12:45:00+02:00,60.0
IT-North,10Y1001A1001A73I,2026-04-27 13:00:00+02:00,60.0
IT-North,10Y1001A1001A73I,2026-04-27 13:15:00+02:00,60.0
IT-North,10Y1001A1001A73I,2026-04-27 13:30:00+02:00,60.0
IT-North,10Y1001A1001A73I,2026-04-27 13:45:00+02:00,60.0
IT-North,10Y1001A1001A73I,2026-04-27 14:00:00+02:00,52.64
IT-North,10Y1001A1001A73I,2026-04-27 14:15:00+02:00,67.0
IT-North,10Y1001A1001A73I,2026-04-27 14:30:00+02:00,66.51
IT-North,10Y1001A1001A73I,2026-04-27 14:45:00+02:00,100.0
IT-North,10Y1001A1001A73I,2026-04-27 15:00:00+02:00,50.0
IT-North,10Y1001A1001A73I,2026-04-27 15:15:00+02:00,50.13
IT-North,10Y1001A1001A73I,2026-04-27 15:30:00+02:00,58.47
IT-North,10Y1001A1001A73I,2026-04-27 15:45:00+02:00,66.1
IT-North,10Y1001A1001A73I,2026-04-27 16:00:00+02:00,102.63
IT-North,10Y1001A1001A73I,2026-04-27 16:15:00+02:00,105.2
IT-North,10Y1001A1001A73I,2026-04-27 16:30:00+02:00,113.43
IT-North,10Y1001A1001A73I,2026-04-27 16:45:00+02:00,128.3
IT-North,10Y1001A1001A73I,2026-04-27 17:00:00+02:00,110.0
IT-North,10Y1001A1001A73I,2026-04-27 17:15:00+02:00,114.86
IT-North,10Y1001A1001A73I,2026-04-27 17:30:00+02:00,133.33
IT-North,10Y1001A1001A73I,2026-04-27 17:45:00+02:00,140.0
IT-North,10Y1001A1001A73I,2026-04-27 18:00:00+02:00,125.0
IT-North,10Y1001A1001A73I,2026-04-27 18:15:00+02:00,139.5
IT-North,10Y1001A1001A73I,2026-04-27 18:30:00+02:00,147.17
IT-North,10Y1001A1001A73I,2026-04-27 18:45:00+02:00,160.75
IT-North,10Y1001A1001A73I,2026-04-27 19:00:00+02:00,142.25
IT-North,10Y1001A1001A73I,2026-04-27 19:15:00+02:00,157.22
IT-North,10Y1001A1001A73I,2026-04-27 19:30:00+02:00,163.75
IT-North,10Y1001A1001A73I,2026-04-27 19:45:00+02:00,188.74
IT-North,10Y1001A1001A73I,2026-04-27 20:00:00+02:00,173.82
IT-North,10Y1001A1001A73I,2026-04-27 20:15:00+02:00,173.11
IT-North,10Y1001A1001A73I,2026-04-27 20:30:00+02:00,172.44
IT-North,10Y1001A1001A73I,2026-04-27 20:45:00+02:00,171.06
IT-North,10Y1001A1001A73I,2026-04-27 21:00:00+02:00,179.23
