Società,Partita IVA,Sede Legale,Settori Attività
COMUNE DI PIEVE SANTO STEFANO,00267800514,Piazza PLINIO PELLEGRINI 1 - 52036 Pieve Santo Stefano (Arezzo)," p) distribuzione del gas naturale; q) misura del gas naturale; Attività diverse - attività non riconducibili ai settori dell'energia elettrica, del gas, idrico, teleriscaldamento e rifiuti; Gestione tariffe e rapporto con gli utenti"
COMUNE DI SAN GIULIANO DI PUGLIA,00070680707,Largo PALAZZO MARCHESALE N.10 snc - 86040 San Giuliano di Puglia (Campobasso)," a) produzione dell'energia elettrica; p) distribuzione del gas naturale; q) misura del gas naturale; Acquedotto - Potabilizzazione; Depurazione - Depurazione; Attività diverse - attività non riconducibili ai settori dell'energia elettrica, del gas, idrico, teleriscaldamento e rifiuti; Acquedotto - Distribuzione; Acquedotto - Misura; Fognatura - Bianca; Fognatura - Nera e mista; Attività diverse - Ente territorialmente competente: laddove l'Ente di governo dell'Ambito non sia costituito ed operativo, è la Regione o la Provincia autonoma o altri enti competenti, ai sensi dell'art. 1 del MTR - delib. ARERA 443/2019/R/RIF - (settore rifiuti); Spazzamento e lavaggio delle strade; Gestione tariffe e rapporto con gli utenti"
COMUNE DI SCERNI,00236730693,Via IV° NOVEMBRE 18 - 66020 Scerni (Chieti)," a) produzione dell'energia elettrica; p) distribuzione del gas naturale; q) misura del gas naturale; Attività diverse - attività non riconducibili ai settori dell'energia elettrica, del gas, idrico, teleriscaldamento e rifiuti; Gestione tariffe e rapporto con gli utenti"
COMUNE DI SONA,00500760236,Piazza Roma 1 - 37060 Sona (Verona)," a) produzione dell'energia elettrica; p) distribuzione del gas naturale; q) misura del gas naturale; Attività diverse - attività non riconducibili ai settori dell'energia elettrica, del gas, idrico, teleriscaldamento e rifiuti; Attività diverse - Ente territorialmente competente: laddove l'Ente di governo dell'Ambito non sia costituito ed operativo, è la Regione o la Provincia autonoma o altri enti competenti, ai sensi dell'art. 1 del MTR - delib. ARERA 443/2019/R/RIF - (settore rifiuti); Gestione tariffe e rapporto con gli utenti"
CONDOTTE NORD SPA,03003150160,Via FORO BOARIO 3 - 24121 Bergamo (Bergamo)," p) distribuzione del gas naturale; q) misura del gas naturale; u) distribuzione, misura e vendita di altri gas a mezzo di reti canalizzate"
"CONSORZIO GESTIONE RISORSE DELLE VALLI PELIGNA, SUBEQUANA E PESCARA S.R.L.",01530850666,Via Roma 2 - 67030 Vittorito (L'Aquila), p) distribuzione del gas naturale; q) misura del gas naturale
CONSORZIO SIMEGAS,04406390825,Via DI BELGIOIOSO 4 - 90015 Cefalù (Palermo), p) distribuzione del gas naturale; q) misura del gas naturale
COOP. POMILIA GAS S.C.R.L.,01414851210,Via CARMINE GUADAGNO 85 - 80038 Pomigliano d'Arco (Napoli), p) distribuzione del gas naturale; q) misura del gas naturale
COSEV SERVIZI S.P.A,00446820672,Via VIA F. PETRARCA 6 - 64015 Nereto (Teramo)," p) distribuzione del gas naturale; q) misura del gas naturale; u) distribuzione, misura e vendita di altri gas a mezzo di reti canalizzate; Attività diverse - servizi prestati ad altre imprese ed enti, inclusi quelli prestati ad imprese rientranti nei settori del gas naturale e dell'energia elettrica (comma 26.2, lettera b) TIU)"
COSVIM SOC. COOP.,00541090767,Via del Seminario Maggiore 117 - 85100 Potenza (Potenza), p) distribuzione del gas naturale; q) misura del gas naturale
D.I.M. GAS S.R.L.,00603870288,Via  Luigi Einaudi 25 - 35010 Curtarolo (Padova), p) distribuzione del gas naturale; q) misura del gas naturale
DISTRIBUZIONE GAS NATURALE S.R.L.,09479040017,Via Vigone 42 - 10064 Pinerolo (Torino), p) distribuzione del gas naturale; q) misura del gas naturale; Attività diverse - altro - ( servizi energetici ) 
E.T. ENERGIA E TERRITORIO SERVIZI TECNOLOGICI SRL,02109820429,Via Via Ancona - Moie 57 - 60030 Maiolati Spontini (Ancona), p) distribuzione del gas naturale; q) misura del gas naturale
EBGAS,03620790406,Via Luigi Galvani 17/B - 47122 Forlì (Forlì-Cesena), p) distribuzione del gas naturale; q) misura del gas naturale
EDMA RETI GAS SRL,02637140423,Via TRIESTE 2 - 60124 Ancona (Ancona)," p) distribuzione del gas naturale; q) misura del gas naturale; Attività diverse - attività non riconducibili ai settori dell'energia elettrica, del gas, idrico, teleriscaldamento e rifiuti"
Edyna Srl,02689370217,Via Lungo Isarco Sinistro 45/A - 39100 Bolzano/Bozen (Bolzano/Bozen), d) distribuzione dell'energia elettrica; e) misura dell'energia elettrica; p) distribuzione del gas naturale; q) misura del gas naturale
ENERGETICA S.P.A.,01647720992,Via Santa Maria Segreta 6 - 20123 Milano (Milano)," a) produzione dell'energia elettrica; f) acquisto e vendita all'ingrosso dell'energia elettrica; p) distribuzione del gas naturale; q) misura del gas naturale; u) distribuzione, misura e vendita di altri gas a mezzo di reti canalizzate; Attività diverse - attività non riconducibili ai settori dell'energia elettrica, del gas, idrico, teleriscaldamento e rifiuti; Attività diverse - produzione combinata di energia elettrica e termica quando il rapporto tra quantità di energia elettrica ed energia termica è inferiore a 1; Attività diverse - servizi prestati ad altre imprese ed enti, inclusi quelli prestati ad imprese rientranti nei settori del gas naturale e dell'energia elettrica (comma 26.2, lettera b) TIU); Attività diverse - altro; Produzione di energia termica; Distribuzione di energia termica; Misura di energia termica; Acquisto e vendita di energia termica"
ENTAR srl,01683750366,Via MAURO TESI 963 - 41059 Zocca (Modena)," p) distribuzione del gas naturale; q) misura del gas naturale; Attività diverse - gestione, manutenzione e sviluppo di infrastrutture semaforiche e di illuminazione pubblica"
EROGASMET S.P.A.,13171830154,Via Vittorio Emanuele II 4/28 - 25030 Roncadelle (Brescia), a) produzione dell'energia elettrica; p) distribuzione del gas naturale; q) misura del gas naturale
EUROTECN,12608370966,Piazza IV NOVEMBRE 4 - 20124 Milano (Milano), a) produzione dell'energia elettrica; f) acquisto e vendita all'ingrosso dell'energia elettrica; k) coltivazione di gas naturale; p) distribuzione del gas naturale
FERMO A.S.I.T.E. SRL,01746510443,Via Mazzini 4 - 63900 Fermo (Fermo), a) produzione dell'energia elettrica; p) distribuzione del gas naturale; q) misura del gas naturale; Raccolta e trasporto dei rifiuti urbani; Spazzamento e lavaggio delle strade; Trattamento e recupero dei rifiuti urbani; Trattamento e smaltimento dei rifiuti urbani
FIN CONSORZIO,07990311008,Via SAVOIA 78 - 00198 Roma (Roma), p) distribuzione del gas naturale; q) misura del gas naturale
G.E.I. GESTIONE ENERGETICA IMPIANTI S.P.A.,00850720194,Via S. Chiara 9 - 26013 Crema (Cremona), p) distribuzione del gas naturale; q) misura del gas naturale
Gasman Distribuzione S.r.L.,03696440712,Viale MIRAMARE 39 - 71043 Manfredonia (Foggia), p) distribuzione del gas naturale; q) misura del gas naturale
GASMAN SC,02150630719,Viale miramare 34 - 71043 Manfredonia (Foggia)," p) distribuzione del gas naturale; q) misura del gas naturale; Attività diverse - servizi prestati ad altre imprese ed enti, inclusi quelli prestati ad imprese rientranti nei settori del gas naturale e dell'energia elettrica (comma 26.2, lettera b) TIU)"
GENECO,03543881001,Viale Regina Margherita 302 - 00197 Roma (Roma), p) distribuzione del gas naturale; q) misura del gas naturale
GESAM RETI SPA,01581890462,Via NOTTOLINI 34 - 55100 Lucca (Lucca)," p) distribuzione del gas naturale; q) misura del gas naturale; u) distribuzione, misura e vendita di altri gas a mezzo di reti canalizzate"
GESTIONE SERVIZI COMUNALI S.R.L. IN FORMA ABBREVIATA GE.S.COM. S.R.L.,02109390647,Via Rodari    1 - 83044 Bisaccia (Avellino), a) produzione dell'energia elettrica; p) distribuzione del gas naturale; q) misura del gas naturale
GIGAS RETE SRL,03752430961,Via Carducci 2 - 26900 Lodi (Lodi), p) distribuzione del gas naturale; q) misura del gas naturale
GIUDICARIE GAS S.P.A.,01722590229,Via STENICO 11 - 38079 Tione di Trento (Trento), p) distribuzione del gas naturale; q) misura del gas naturale
GP Infrastrutture S.r.l.,09518350153,Viale Enrico Forlanini 17 - 20134 Milano (Milano)," p) distribuzione del gas naturale; q) misura del gas naturale; Attività diverse - attività non riconducibili ai settori dell'energia elettrica, del gas, idrico, teleriscaldamento e rifiuti; Attività diverse - altro"
