DATA_RILEVAZIONE,BENZINA,GASOLIO_AUTO,GPL,METANO,GNL,GASOLIO_RISCALDAMENTO,O.C._FLUIDO_BTZ,O.C._DENSO_BTZ
2011-11-21,"-7,15","8,85","-4,41",,,"2,44","10,34","-14,5"
2011-11-28,"-10,59","4,27","3,51",,,"3,79","-15,07","-16,02"
2011-12-05,"-1,68","-3,38","-0,32",,,"-27,61","-9,08","10,51"
2011-12-12,"97,43","132,39","15,19",,,"11,5","4,97","3,88"
2011-12-19,"0,77","-4,32","0,13",,,"-3,57","-2,73","-3,85"
2011-12-26,"2,26","-0,94","0,63",,,"-0,84","14,72","27,05"
2012-01-02,"10,5","0,06","7,38",,,"2,91","5,65","3,36"
2012-01-09,"7,76","10,91","4,33",,,"36,39","31,97","29,75"
2012-01-16,"15,33","17,49","4,69",,,"12,99","8,9","10,31"
2012-01-23,"3,43","5,49","0,47",,,"-17,31","-13,78","-19,84"
2012-01-30,"4,84","-1,82","0,39",,,"-6,4","-2,83","-2,66"
2012-02-06,"9,18","-2,64","19,06",,,"3,9","3,9","1,06"
2012-02-13,"9,74","8,6","23,41",,,"21,24","18,73","27,39"
2012-02-20,"15,95","10,95","12,58",,,"18,75",8,"5,71"
2012-02-27,"13,23","10,86","0,5",,,"5,49","0,36","-0,51"
2012-03-05,"5,5","3,23","34,06",,,"-10,83","0,26","14,02"
2012-03-19,"14,65","7,81","7,33",,,"9,7","-0,08","1,95"
2012-03-26,"10,87","5,17","6,31",,,"-5,32","-9,24","-14,63"
