locode,nome_porto,merci_in_contenitori,merci_in_contenitori_note,merci_in_rinfuse_liquide,merci_in_rinfuse_liquide_note,merci_in_rinfuse_solide,merci_in_rinfuse_solide_note,merci_in_ro_ro,merci_in_ro_ro_note,merci_altro_carico,merci_altro_carico_note,n_tot_merci_trasportate,n_tot_merci_trasportate_note,n_tot_passeggeri_sbarcati,n_tot_passeggeri_sbarcati_note,n_tot_passeggeri_imbarcati,n_tot_passeggeri_imbarcati_note,n_tot_passeggeri,n_tot_passeggeri_note,merce_sbarcata,merce_sbarcata_note,merce_imbarcata,merce_imbarcata_note,tot_merce_imbarcata_sbarcata,tot_merce_imbarcata_sbarcata_note,anno_riferimento,lat,lon
ITLIV,Livorno,5880,,9514,,897,,9505,,1832,,29304,,994,,1007,,2001,,18191,,11112,,29303,,2015,43.56095,10.3014138889
ITLIV,Livorno,6149,,6679,,410,,8980,,4790,,27008,,101,,1025,,1126,,15128,,11880,,27008,,2016,43.56095,10.3014138889
ITLIV,Livorno,6,,8,,626,,8,,6,,28,,1,,996,,2,,16221,,11991,,28213,,2017,43.56095,10.3014138889
ITMFR,Manfredonia,0,,0,,0,,0,,0,,0,,,N/D,,N/D,,N/D,0,,0,,0,,2014,41.6250333333,15.9178138889
ITMFR,Manfredonia,0,,0,,0,,0,,0,,0,,,N/D,,N/D,,N/D,0,,0,,0,,2015,41.6250333333,15.9178138889
ITMFR,Manfredonia,,N/D,,N/D,,N/D,,N/D,,N/D,,N/D,,N/D,,N/D,,N/D,0,,0,,0,,2016,41.6250333333,15.9178138889
ITMDC,Marina di Carrara,3,,0,,737,,0,,817,,1557,,,N/D,,N/D,,N/D,615,,943,,1558,,2014,44.0333416667,10.0402472222
ITMDC,Marina di Carrara,1,,1,,826,,6,,541,,1376,,,N/D,,N/D,,N/D,612,,765,,1377,,2015,44.0333416667,10.0402472222
ITMDC,Marina di Carrara,,N/D,4,,819,,91,,453,,1367,,,N/D,,N/D,,N/D,617,,750,,1367,,2016,44.0333416667,10.0402472222
ITMDC,Marina Di Carrara,502,,,N/D,830,,284,,34,,2,,,N/D,,N/D,,N/D,679,,971,,1650,,2017,44.0333416667,10.0402472222
ITMSN,Messina,0,,29,,0,,8886,,0,,8916,,3789,,32,,3821,,4502,,4414,,8916,,2014,38.1892027778,15.5609138889
ITMSN,Messina,0,,39,,8,,6509,,0,,7926,,347,,3551,,3898,,4079,,3847,,7926,,2015,38.1892027778,15.5609138889
