name,code,url,updatedAt,gasDayStart,gasDayEnd,sendOut,dtrs,contractedCapacity,availableCapacity,coveredCapacity,info,status,inventory.lng,inventory.gwh,dtmi.lng,dtmi.gwh
Italy,IT,IT,2023-10-26 15:28:44,2021-09-02,2021-09-03,240.8,514.5,-,-,-,[],C,177.24,1131.71,427.16,2727.5
Italy,IT,IT,2023-10-26 15:28:44,2021-09-01,2021-09-02,241.1,514.5,-,-,-,[],C,135.56,867.55,427.16,2733.72
Italy,IT,IT,2023-10-26 15:28:43,2021-08-31,2021-09-01,241.8,514.5,-,-,-,[],C,103.23,662.66,427.16,2742.05
Italy,IT,IT,2023-10-26 15:28:42,2021-08-30,2021-08-31,241,514.5,-,-,-,[],C,139.84,894.77,427.16,2733.19
Italy,IT,IT,2023-10-26 15:28:41,2021-08-29,2021-08-30,176.2,514.5,-,-,-,[],C,176.41,1126.73,427.16,2728.27
Italy,IT,IT,2023-10-26 15:28:40,2021-08-28,2021-08-29,177.3,514.5,-,-,-,[],C,63.22,409.15,427.16,2764.51
Italy,IT,IT,2023-10-26 15:28:39,2021-08-27,2021-08-28,241.1,514.5,-,-,-,[],C,89.79,577.72,427.16,2748.4
Italy,IT,IT,2023-10-26 15:28:38,2021-08-26,2021-08-27,240.9,514.5,-,-,-,[],C,126.14,808.23,427.16,2736.99
Italy,IT,IT,2023-10-26 15:28:37,2021-08-25,2021-08-26,143.2,514.5,-,-,-,[],C,123.45,791.26,427.16,2737.91
Italy,IT,IT,2023-10-26 15:28:37,2021-08-24,2021-08-25,99,514.5,-,-,-,[],C,37.27,244.96,427.16,2807.54
Italy,IT,IT,2023-10-26 15:28:36,2021-08-23,2021-08-24,99.9,514.5,-,-,-,[],C,52.33,340.49,427.16,2779.36
Italy,IT,IT,2023-10-26 15:28:35,2021-08-22,2021-08-23,85.2,514.5,-,-,-,[],C,67.26,435.19,427.16,2763.84
Italy,IT,IT,2023-10-26 15:28:34,2021-08-21,2021-08-22,85.8,514.5,-,-,-,[],C,80.4,519.9,427.16,2762.2
