Area,ISO 3 code,Date,Area type,Continent,Ember region,EU,OECD,G20,G7,ASEAN,Category,Subcategory,Variable,Unit,Value,YoY absolute change,YoY % change
Italy,ITA,2018-05-01,Country or economy,Europe,Europe,1.0,1.0,1.0,1.0,0.0,Electricity generation,Fuel,Bioenergy,%,6.2,,
Italy,ITA,2018-05-01,Country or economy,Europe,Europe,1.0,1.0,1.0,1.0,0.0,Electricity generation,Fuel,Coal,%,7.93,,
Italy,ITA,2018-05-01,Country or economy,Europe,Europe,1.0,1.0,1.0,1.0,0.0,Electricity generation,Fuel,Gas,%,38.93,,
Italy,ITA,2018-05-01,Country or economy,Europe,Europe,1.0,1.0,1.0,1.0,0.0,Electricity generation,Fuel,Hydro,%,28.48,,
Italy,ITA,2018-05-01,Country or economy,Europe,Europe,1.0,1.0,1.0,1.0,0.0,Electricity generation,Fuel,Other Fossil,%,1.37,,
Italy,ITA,2018-05-01,Country or economy,Europe,Europe,1.0,1.0,1.0,1.0,0.0,Electricity generation,Fuel,Other Renewables,%,2.17,,
Italy,ITA,2018-05-01,Country or economy,Europe,Europe,1.0,1.0,1.0,1.0,0.0,Electricity generation,Fuel,Solar,%,10.85,,
Italy,ITA,2018-05-01,Country or economy,Europe,Europe,1.0,1.0,1.0,1.0,0.0,Electricity generation,Fuel,Wind,%,4.07,,
Italy,ITA,2018-05-01,Country or economy,Europe,Europe,1.0,1.0,1.0,1.0,0.0,Electricity generation,Fuel,Bioenergy,TWh,1.4,-0.02,-1.41
Italy,ITA,2018-05-01,Country or economy,Europe,Europe,1.0,1.0,1.0,1.0,0.0,Electricity generation,Fuel,Coal,TWh,1.79,0.72,67.29
Italy,ITA,2018-05-01,Country or economy,Europe,Europe,1.0,1.0,1.0,1.0,0.0,Electricity generation,Fuel,Gas,TWh,8.79,-2.35,-21.1
Italy,ITA,2018-05-01,Country or economy,Europe,Europe,1.0,1.0,1.0,1.0,0.0,Electricity generation,Fuel,Hydro,TWh,6.43,2.63,69.21
Italy,ITA,2018-05-01,Country or economy,Europe,Europe,1.0,1.0,1.0,1.0,0.0,Electricity generation,Fuel,Other Fossil,TWh,0.31,0.21,210.0
Italy,ITA,2018-05-01,Country or economy,Europe,Europe,1.0,1.0,1.0,1.0,0.0,Electricity generation,Fuel,Other Renewables,TWh,0.49,0.0,0.0
Italy,ITA,2018-05-01,Country or economy,Europe,Europe,1.0,1.0,1.0,1.0,0.0,Electricity generation,Fuel,Solar,TWh,2.45,-0.34,-12.19
Italy,ITA,2018-05-01,Country or economy,Europe,Europe,1.0,1.0,1.0,1.0,0.0,Electricity generation,Fuel,Wind,TWh,0.92,-0.33,-26.4
Italy,ITA,2018-05-01,Country or economy,Europe,Europe,1.0,1.0,1.0,1.0,0.0,Electricity generation,Total,Total Generation,TWh,22.58,0.52,2.36
Italy,ITA,2018-05-01,Country or economy,Europe,Europe,1.0,1.0,1.0,1.0,0.0,Electricity imports,Electricity imports,Net Imports,TWh,3.29,0.09,2.81
Italy,ITA,2018-05-01,Country or economy,Europe,Europe,1.0,1.0,1.0,1.0,0.0,Electricity prices,Day-ahead electricity price,Day-ahead electricity price,EUR/MWh,53.5,10.48,24.36
Italy,ITA,2018-05-01,Country or economy,Europe,Europe,1.0,1.0,1.0,1.0,0.0,Power sector emissions,Aggregate fuel,Clean,mtCO2,0.62,0.03,5.08
Italy,ITA,2018-05-01,Country or economy,Europe,Europe,1.0,1.0,1.0,1.0,0.0,Power sector emissions,Aggregate fuel,Fossil,mtCO2,6.51,-0.35,-5.1
